Группа_Компаний,Юр_Лицо,ИНН,Год,Бассейн,Объект_Лова,Тип_Квоты,Доля_%,Объем_Тонн,Дата_Начала_Договора,Дата_Окончания_Договора,Причина_Изменения
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,0.116,71.097,05.09.2018,04.09.2033,
,"АО ""ДАЛЬРЫБА""",2500000073,2023,Дальневосточный,Минтай,Промышленная,1.232,14.984,05.09.2018,04.09.2033,
,"АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Минтай,Промышленная,1.232,6683.407,05.09.2018,04.09.2033,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Минтай,Промышленная,1.522,1052.355,05.09.2018,04.09.2033,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Минтай,Промышленная,1.232,7256.39,05.09.2018,04.09.2033,Регулятор/Инвестквоты
,"АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Минтай,Промышленная,1.522,1126.343,05.09.2018,04.09.2033,Регулятор/Инвестквоты
,"АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Минтай,Промышленная,1.232,5478.764,05.09.2018,04.09.2033,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Минтай,Промышленная,1.522,1400.343,05.09.2018,04.09.2033,Биология/ОДУ
,АО «ДАЛЬРЫБА»,2500000073,2026,Дальневосточный,Минтай,Промышленная,,1.232,nan,nan,Биология/ОДУ
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Сельдь,Промышленная,0.391,126.052,29.08.2018,28.08.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Сельдь,Промышленная,0.391,126.052,29.08.2018,28.08.2033,
,"АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Сельдь,Промышленная,0.391,126.836,29.08.2018,28.08.2033,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Сельдь,Промышленная,0.163,78.49,29.09.2020,28.09.2035,Регулятор/Инвестквоты
,"АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Сельдь,Промышленная,0.163,150.786,29.09.2020,28.09.2035,
,АО «ДАЛЬРЫБА»,2500000073,2026,Дальневосточный,Сельдь,Промышленная,,0.163,nan,nan,Регулятор/Инвестквоты
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Треска,Промышленная,0.094,74.542,31.08.2018,30.08.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Треска,Промышленная,0.026,3.249,29.09.2020,28.09.2035,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Треска,Промышленная,0.026,3.249,29.09.2020,28.09.2035,
,"АО ""ДАЛЬРЫБА""",2500000073,2023,Дальневосточный,Треска,Промышленная,0.094,75.486,31.08.2018,30.08.2033,
,"АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Треска,Промышленная,0.094,50.709,31.08.2018,30.08.2033,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Треска,Промышленная,0.026,3.378,29.09.2020,28.09.2035,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Треска,Промышленная,0.094,42.806,31.08.2018,30.08.2033,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Треска,Промышленная,0.026,4.372,29.09.2020,28.09.2035,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Треска,Промышленная,0.094,42.821,31.08.2018,30.08.2033,Биология/ОДУ
,АО «ДАЛЬРЫБА»,2500000073,2026,Дальневосточный,Треска,Промышленная,,0.094,nan,nan,Биология/ОДУ
,ООО «ПРИМОРСКИЕ МОЛЛЮСКИ»,2502072933,2026,Дальневосточный,Кукумария,Промышленная,,27.98,nan,nan,
,"ООО ""ПРИМОРСКИЕ моллюски""",2502072933,2025,Дальневосточный,Кукумария (639),Промышленная,27.98,119.671,29.08.2018,28.08.2033,
