haul_id,start_time,end_time,date_local,duration_hours,points,mean_speed,mean_depth,min_depth,max_depth,distance_nm,lat_start,lon_start,lat_end,lon_end
14,2026-01-05 08:23:04+00:00,2026-01-05 10:09:03+00:00,2026-01-05,1.766388888888889,7,3.6000000749315535,-395.0,-430,-309,6.989914177968726,55.41448333333334,149.90561666666667,55.30193333333333,149.92353333333332
15,2026-01-05 11:06:09+00:00,2026-01-05 14:37:16+00:00,2026-01-05,3.5186111111111114,9,3.455555544959174,-370.22222222222223,-417,-334,11.674449802428258,55.211533333333335,149.93376666666666,55.396883333333335,149.86655
16,2026-01-05 15:53:09+00:00,2026-01-05 19:23:00+00:00,2026-01-05,3.4975,10,3.8600000143051147,-361.9,-453,-278,12.718379327877239,55.46548333333333,149.87356666666668,55.2569,149.90461666666667
17,2026-01-05 21:38:20+00:00,2026-01-05 22:43:29+00:00,2026-01-05,1.0858333333333334,6,3.350000023841858,-367.3333333333333,-387,-352,3.8348513721377895,55.14454833333333,150.0042,55.15788333333333,150.10038166666666
18,2026-01-06 00:11:05+00:00,2026-01-06 02:08:02+00:00,2026-01-06,1.9491666666666667,7,4.071428605488369,-376.85714285714283,-430,-349,7.728732666157518,55.1848,149.96083333333334,55.30258333333333,149.89948166666667
19,2026-01-06 03:08:08+00:00,2026-01-06 04:39:06+00:00,2026-01-06,1.5161111111111112,6,4.0,-366.5,-402,-348,6.200607614623704,55.27746666666667,149.91971666666666,55.175383333333336,149.93436666666668
20,2026-01-06 06:48:56+00:00,2026-01-06 08:13:11+00:00,2026-01-06,1.4041666666666666,5,3.2200000286102295,-365.4,-399,-348,4.20075541483502,55.208,149.93941666666666,55.27591666666667,149.92745
21,2026-01-06 13:03:18+00:00,2026-01-06 15:21:35+00:00,2026-01-06,2.3047222222222223,9,3.1666666666666665,-398.44444444444446,-448,-350,7.430213431216616,55.216766666666665,149.91878333333332,55.327733333333335,149.87876666666668
22,2026-01-06 16:05:59+00:00,2026-01-06 17:01:57+00:00,2026-01-06,0.9327777777777778,3,3.8999999364217124,-425.6666666666667,-442,-410,3.3571429873420744,55.3352,149.88871666666665,55.2799,149.90301666666667
23,2026-01-06 19:37:17+00:00,2026-01-06 22:02:46+00:00,2026-01-06,2.424722222222222,9,3.199999968210856,-413.3333333333333,-466,-379,7.701725191477002,55.14715,149.99189833333332,55.17551666666667,149.88841666666667
24,2026-01-06 23:58:57+00:00,2026-01-07 04:23:08+00:00,2026-01-06,4.4030555555555555,12,3.449999988079071,-381.5,-434,-350,15.483038512547344,55.25425,149.91175,55.20295,149.94483333333332
25,2026-01-07 05:27:10+00:00,2026-01-07 06:35:06+00:00,2026-01-07,1.1322222222222222,4,3.150000035762787,-407.75,-429,-372,2.6522494298615573,55.2535,149.88673333333332,55.2756,149.84905
26,2026-01-07 10:10:26+00:00,2026-01-07 12:37:51+00:00,2026-01-07,2.4569444444444444,10,3.700000023841858,-420.2,-514,-360,8.077612344782782,55.11418333333334,149.863615,55.23838333333333,149.88988333333333
27,2026-01-07 13:15:07+00:00,2026-01-07 21:17:08+00:00,2026-01-07,8.03361111111111,26,3.392307703311627,-454.9230769230769,-540,-361,28.15049310688341,55.19328333333333,149.87906666666666,55.124831666666665,149.98671666666667
28,2026-01-07 22:25:47+00:00,2026-01-08 05:47:05+00:00,2026-01-07,7.355,24,3.7791666289170585,-437.875,-537,-368,26.550414164475303,55.09673333333333,149.88128333333333,55.220683333333334,149.84293166666666
29,2026-01-08 08:45:27+00:00,2026-01-08 13:52:47+00:00,2026-01-08,5.122222222222222,22,3.8499999913302334,-432.45454545454544,-525,-366,18.86664194594506,55.222516666666664,149.84821666666667,55.1276,149.89381666666668
30,2026-01-09 09:09:48+00:00,2026-01-09 13:53:38+00:00,2026-01-09,4.730555555555555,15,3.5200000127156574,-337.93333333333334,-372,-293,16.83376610366664,56.283,154.114665,56.26,154.11218333333332
31,2026-01-09 16:46:37+00:00,2026-01-09 22:41:19+00:00,2026-01-09,5.911666666666666,17,3.682352949591244,-344.88235294117646,-391,-317,20.853803990165027,56.3353,154.11878333333334,56.448166666666665,154.11435
32,2026-01-10 01:12:14+00:00,2026-01-10 04:15:20+00:00,2026-01-10,3.0516666666666667,10,4.189999961853028,-387.6,-420,-349,13.138771190632392,56.61455,154.10488333333333,56.83206666666667,154.12916666666666
33,2026-01-10 05:29:02+00:00,2026-01-10 06:36:38+00:00,2026-01-10,1.1266666666666665,4,3.625,-472.5,-486,-459,4.229116812532347,56.90855,154.16576666666666,56.97711666666667,154.19025
34,2026-01-10 07:40:45+00:00,2026-01-10 13:30:26+00:00,2026-01-10,5.828055555555555,21,3.542857124691918,-430.9047619047619,-535,-345,20.424925474498792,56.97966666666667,154.14698333333334,56.650666666666666,154.11823166666667
35,2026-01-10 14:13:08+00:00,2026-01-10 15:01:40+00:00,2026-01-10,0.8088888888888889,3,3.9333333174387612,-369.6666666666667,-388,-360,3.53227667911902,56.6234,154.09393333333333,56.68001666666667,154.11905
36,2026-01-10 17:32:05+00:00,2026-01-10 19:20:18+00:00,2026-01-10,1.803611111111111,6,4.166666626930237,-410.6666666666667,-456,-352,7.236508361855847,56.855383333333336,154.18215,56.96478333333334,154.2402
37,2026-01-10 22:27:15+00:00,2026-01-11 02:58:09+00:00,2026-01-10,4.515,21,3.7809523741404214,-399.1904761904762,-458,-307,16.917593566052464,56.886183333333335,154.14603333333332,56.9589,154.2218
38,2026-01-11 05:32:02+00:00,2026-01-11 14:06:47+00:00,2026-01-11,8.579166666666667,36,3.488888872994317,-429.1666666666667,-550,-343,28.96847813662893,56.94558333333333,154.16528333333332,56.950966666666666,154.12805
39,2026-01-11 17:45:10+00:00,2026-01-12 00:06:08+00:00,2026-01-11,6.349444444444444,22,2.9681818268515845,-455.1363636363636,-476,-420,19.803649112816473,56.91475,154.1614,56.7549,154.08463333333333
40,2026-01-12 02:02:38+00:00,2026-01-12 05:55:26+00:00,2026-01-12,3.8800000000000003,20,3.8800000190734862,-494.85,-638,-383,13.62685176520384,56.69251666666667,154.10503333333332,56.8388,154.07495
41,2026-01-12 07:18:50+00:00,2026-01-12 11:00:04+00:00,2026-01-12,3.687222222222222,15,3.8533332983652753,-165.8,-316,-106,13.16513339778558,56.885133333333336,154.25885,56.89415,154.65959833333332
