country_code,shipyard_id,shipyard_url,name,address,website,phone,email,lat,lon
CN,5342,https://www.trusteddocks.com/shipyards/5342-paxocean-engineering-zhoushan-co-ltd,PaxOcean Engineering Zhoushan Co Ltd,"No. 1 Offshore Road, Changbai, XiaoSha Sub-District, Dinghai District, 316057",,,,30.166731392025838,122.02428614753009
CN,5446,https://www.trusteddocks.com/shipyards/5446-putuo-changhong-international-ship-repair-co-ltd,"Putuo Changhong International Ship Repair Co., Ltd.","Xiaogan Island, Shenjiamen Sub-district, Putuo District, Zhoushan",,,,29.9467,122.2477
CN,5349,https://www.trusteddocks.com/shipyards/5349-qingdao-beihai-shipbuilding-heavy-industry---cssc,QINGDAO BEIHAI SHIPBUILDING HEAVY INDUSTRY CSSC,,,,,,
CN,5351,https://www.trusteddocks.com/shipyards/5351-qingdao-haixi-heavy-duty-machinery-co-ltd-(cssc)-(csic),"QINGDAO HAIXI HEAVY-DUTY MACHINERY CO., LTD (CSSC) (CSIC)","No. 1597, Jiulongshan Road, Huangdao District, Qingdao City, Shandong",,,,36.00691271334615,120.27884267270565
CN,5353,https://www.trusteddocks.com/shipyards/5353-qingshan-shipyard-of-china-changjiang-national-shipping-group(csc),QINGSHAN SHIPYARD OF CHINA CHANGJIANG NATIONAL SHIPPING GROUP(CSC),"Chuanchang Xincun (Chuanchang New Village), Qingshan District,, 430082",,,,30.661327481255345,114.43986499933098
CN,5396,https://www.trusteddocks.com/shipyards/5396-quanzhou-shipyard-coltd,"QUANZHOU SHIPYARD CO.,LTD","No.1,Shipyard Road,Jing&#39;feng,Hui&#39;an County,Quan&#39;zhou City.Fu&#39;jian Province, 362142",,,,25.050363592916643,118.99653935022098
CN,54559,https://www.trusteddocks.com/shipyards/54559-ruitai-nantong-shipyard-co-ltd,"RUITAI NANTONG SHIPYARD CO., LTD","No. 1, Huandao Road, Nantong,",,,,32.017099,120.639224
CN,5359,https://www.trusteddocks.com/shipyards/5359-rongcheng-stonestar-ship-repair-co,Rongcheng Stonestar Ship Repair Co,"No.646 Huanhai Road, Chengshan Town, Rongcheng City",,,,37.420297769318815,122.63523114804143
CN,5366,https://www.trusteddocks.com/shipyards/5366-shandong-huahai-shipbuilding-co,SHANDONG HUAHAI SHIPBUILDING CO,,,,,,
CN,5369,https://www.trusteddocks.com/shipyards/5369-shanghai-jiangnan-changxing-heavy-industry-co-ltd-,SHANGHAI JIANGNAN CHANGXING HEAVY INDUSTRY CO LTD,,,,,,
CN,5373,https://www.trusteddocks.com/shipyards/5373-shanghai-shipyard-coltd-(cssc),"SHANGHAI SHIPYARD CO.,LTD (CSSC)","No. 1 Jianghai Road, Chongming Island, Chongming District 202150 Nr 468, Yangshupu Rd, 202146 Shanghai, CHINA",,,,31.25227126694623,121.5164922697017
CN,5375,https://www.trusteddocks.com/shipyards/5375-shanhaiguan-shipbuilding-industry---cssc,SHANHAIGUAN SHIPBUILDING INDUSTRY CSSC,,,,,,
CN,54560,https://www.trusteddocks.com/shipyards/54560-shenjia-shipyard,SHENJIA SHIPYARD,,,,,,
CN,5378,https://www.trusteddocks.com/shipyards/5378-south-china-shipyard-(jiangmen)-co-ltd,"SOUTH CHINA SHIPYARD (JIANGMEN) CO., LTD","Xinhui District, Jiangmen City Xinhui Road West 37,",,,,22.507995913068054,112.99723302683543
