imo,vessel_name,source_status,rmrs_number,class_status,surveys_count,fetched_at
8607191,ВАСИЛИЙ ФИЛИППОВ,ok_via_regbook,884732,"",0,2026-06-02 14:18:00.814281+00
8607206,КУРШСКАЯ КОСА,ok_via_regbook,885294,"",0,2026-06-02 14:18:07.025282+00
8607232,ЯНТАРНЫЙ,ok_via_regbook,885913,"",0,2026-06-02 14:18:28.483146+00
8607282,ПАВЕЛ КУТАХОВ,ok_via_regbook,893854,"",0,2026-06-02 14:18:35.926284+00
8607323,ВАСИЛИЙ ЛОЗОВСКИЙ,ok_via_regbook,893892,"",0,2026-06-02 14:18:43.537004+00
8607402,КАПИТАН БОГОМОЛОВ,ok_via_regbook,902493,"",0,2026-06-02 14:18:48.519885+00
8615318,МЕЛЬКАРТ-7,ok_via_regbook,877989,"",0,2026-06-02 14:19:05.039082+00
8617859,ЛИНДГОЛЬМ,ok_via_regbook,866715,"",0,2026-06-02 14:19:11.404246+00
8627141,ХОКУТАЦУ МАРУ № 1,ok_via_regbook,846637,"",0,2026-06-02 14:19:26.024047+00
8651453,ТУНГИР,ok_via_regbook,002010,"",0,2026-06-02 14:19:32.633546+00
8661173,АРКА-31,ok_via_regbook,010777,"",0,2026-06-02 14:19:38.47162+00
8661202,ГОРИН,ok_via_regbook,971076,"",0,2026-06-02 14:19:44.054278+00
8662634,НАЗИМОВ,ok_via_regbook,000725,"",0,2026-06-02 14:19:50.642925+00
8701959,МЕЛЬКАРТ-2,ok_via_regbook,877090,"",0,2026-06-02 14:20:00.604922+00
8703593,СОВЕРЕН,ok_via_regbook,877739,"",0,2026-06-02 14:20:06.079477+00
8704834,МЕЛЬКАРТ-6,ok_via_regbook,877974,"",0,2026-06-02 14:20:12.936865+00
8707446,ЦАРИЦА,ok_via_regbook,888199,"",0,2026-06-02 14:20:22.394579+00
8713184,ОСТРОВНОЙ-10,ok_via_regbook,877921,"",0,2026-06-02 14:20:31.680272+00
8714530,МЕЛЬКАРТ-4,ok_via_regbook,887753,"",0,2026-06-02 14:20:40.748546+00
8716875,ГЕРОИ ДАМАНСКОГО,ok_via_regbook,877194,"",0,2026-06-02 14:20:46.868179+00
8717049,КАЮМ,ok_via_regbook,877902,"",0,2026-06-02 14:20:53.227514+00
8717192,МЕРЛАНГ,ok_via_regbook,877890,"",0,2026-06-02 14:20:59.973747+00
8717568,АРКА-35,ok_via_regbook,876740,"",0,2026-06-02 14:21:05.473463+00
8721040,XXVII СЪЕЗД КПСС,ok_via_regbook,841686,"",0,2026-06-02 14:21:15.671978+00
8721052,XX СЪЕЗД ВЛКСМ,ok_via_regbook,851851,"",0,2026-06-02 14:21:21.93884+00
8721105,МИНИСТР ИШКОВ,ok_via_regbook,852356,"",0,2026-06-02 14:21:27.243483+00
8721117,МАТВЕЙ КУЗЬМИН,ok_via_regbook,862150,"",0,2026-06-02 14:21:33.275237+00
8721131,КАПИТАН ФАЛЕЕВ,ok_via_regbook,852394,"",0,2026-06-02 14:21:39.866914+00
8721167,ИЛЬЯ КОНОВАЛОВ,ok_via_regbook,852387,"",0,2026-06-02 14:21:46.922792+00
8721181,ВАСИЛЬЕВСКИЙ ОСТРОВ,ok_via_regbook,883829,"",0,2026-06-02 14:21:52.969481+00
8721210,ВЛАДИМИР БАБИЧ,ok_via_regbook,852360,"",0,2026-06-02 14:21:58.949155+00
8721246,АНАТОЛИЙ ПОНОМАРЕВ,ok_via_regbook,852341,"",0,2026-06-02 14:22:05.825325+00
8721260,АЛЕКСАНДР БЕЛЯКОВ,ok_via_regbook,862146,"",0,2026-06-02 14:22:11.911229+00
8721985,КОМАРНО,ok_via_regbook,862343,"",0,2026-06-02 14:22:27.110976+00
8722032,КИРОВКА,ok_via_regbook,840857,"",0,2026-06-02 14:22:33.370811+00
8722111,МОРСКОЙ БРИЗ,ok_via_regbook,870246,"",0,2026-06-02 14:22:45.22752+00
8723880,РЫБОЛОВ-1,ok_via_regbook,881240,"",0,2026-06-02 14:23:03.340227+00
8724327,КАПИТАН КОЛЕСНИКОВ,ok_via_regbook,873687,"",0,2026-06-02 14:23:09.905511+00
8724377,ОБАЯТЕЛЬНЫЙ,ok_via_regbook,842602,"",0,2026-06-02 14:23:16.745339+00
8729652,МАГАДАН,ok_via_regbook,885843,"",0,2026-06-02 14:23:35.036628+00
8747276,УЗОН,ok_via_regbook,000496,"",0,2026-06-02 14:23:49.458307+00
8747329,АЛЧАН,ok_via_regbook,000585,"",0,2026-06-02 14:23:56.52722+00
8800468,АСКУР,ok_via_regbook,888127,"",0,2026-06-02 14:24:20.718547+00
8801187,СЕВРЫБА-1,ok_via_regbook,896424,"",0,2026-06-02 14:24:26.735443+00
8801931,МЕЛЬКАРТ-3,ok_via_regbook,887687,"",0,2026-06-02 14:24:35.000085+00
8804074,УГУЛАН,ok_via_regbook,887213,"",0,2026-06-02 14:24:40.783664+00
8804309,ИХТИОЛОГ,ok_via_regbook,887500,"",0,2026-06-02 14:24:48.828765+00
8805303,ВИЛЮЙ,ok_via_regbook,888220,"",0,2026-06-02 14:24:54.535871+00
8809294,ВОСТОК-5,ok_via_regbook,887603,"",0,2026-06-02 14:25:03.807654+00
8810451,МАТРИЦА,ok_via_regbook,887073,"",0,2026-06-02 14:25:10.300647+00
8810504,СУНТАР,ok_via_regbook,887251,"",0,2026-06-02 14:25:16.820525+00
8813702,КАНИН НОС,ok_via_regbook,888216,"",0,2026-06-02 14:25:30.981835+00
8815334,ВОСТОК-7,ok_via_regbook,888004,"",0,2026-06-02 14:25:37.920213+00
8817423,АЛЕКСЕЙ АНИЧКИН,ok_via_regbook,887143,"",0,2026-06-02 14:25:45.327151+00
8817734,ПЕТРОПАВЛОВСК,ok_via_regbook,905407,"",0,2026-06-02 14:25:51.557628+00
8821371,ГУРД,ok_via_regbook,897713,"",0,2026-06-02 14:10:35.441337+00
8821462,КАРОЛИНА 77,ok_via_regbook,887567,"",0,2026-06-02 14:10:43.627327+00
