Название_судна,Бортовой_номер,IMO,Тип_Модель,Год_постройки,Состояние,Регион_работы,Судовладелец_ИНН,Судовладелец,GFW_ID,GFW_Name,Регион_регистрации
Анабар,,,РС,,Эксплуатация,Дальневосточный,2536312196,"ООО ""АТЛАНТИК КРАБ""",c843cf477-7109-eba5-2887-f0fa1219b641,ANABAR,Приморский край
Анатолий Лавров,,8860781,СРТМ,,Эксплуатация,Дальневосточный,2500000073,"АО ""ДАЛЬРЫБА""",0cf3371c1-1178-be55-665e-74a34c578af5,APOSTOL PETR,Приморский край
Анатолий Пономарев,,8721246,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",8f59c9926-65de-8292-d47c-6b2c41d8fa0d,ANATOLIY PONOMAREV,Камчатский край
Анатолий Торчинов,,7943201,СТМ,,Эксплуатация,Дальневосточный,6501221019,ООО «ПРИМОРСКАЯ РЫБОЛОВНАЯ КОМПАНИЯ»,a3cb533ff-fced-0e07-c8a3-08b76f110c9f,ANATOLIY  TORCHINOV,Сахалинская обл.
Ангел,,,СРТМ,,Эксплуатация,Дальневосточный,4101142626,"ООО ""СЕВЕР""",1a0fbdf77-70a2-31f7-efcc-1f8c87a41839,HOLY ANGEL,Хабаровский край
Андрей Басаргин,,1051513,СРТМ,,Эксплуатация,Дальневосточный,4101142626,"ООО ""СЕВЕР""",58a85ae12-264f-ea00-2170-6278a548515a,ANDREY BASARGIN,Хабаровский край
Андрей Смирнов,ВК-0733,9075890,,,Эксплуатация,Северный,7714566549,"ООО ""ЗИГРАНД""",86eca059a-a1c0-46e7-424c-46cf597cfc4c,ANDREY SMIRNOV,Мурманская обл.
Андрей Смирнов,ВК-0733,9075890,,,Эксплуатация,Северный,5190081090,"ООО ""Антей Север""",86eca059a-a1c0-46e7-424c-46cf597cfc4c,ANDREY SMIRNOV,Мурманская обл.
Анива,,,БМРТ,,Эксплуатация,Дальневосточный,6501074974,ЗАО «ОСТРОВ САХАЛИН»,764e40104-43d4-9831-848d-b092acd34409,ANIVA,Сахалинская обл.
Антей,,8020147,СРТМ,,Эксплуатация,Дальневосточный,6501237700,"ООО ""РОСРЫБФЛОТ""",f53cbde57-7ac6-b958-1686-ba6552ba6a67,ANTEY,Камчатский край
Антиас,АК-0740,,,,Эксплуатация,Северный,2921001587,МОСКОВСКИЙ ФЛ РК ИМ. М. И. КАЛИНИНА,2cd0039ad-d9e6-aafa-ffe4-91b71c226021,ANTAAS,Мурманская обл.
Антур,,9786279,БМРТ,,Эксплуатация,Дальневосточный,2539041064,"ООО  ""ИНТЕРРЫБФЛОТ""",8e3a722f6-6eb5-907c-aca5-72476eae6476,ANTUR,Приморский край
Антур,,9786279,БМРТ,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",8e3a722f6-6eb5-907c-aca5-72476eae6476,ANTUR,Сахалинская обл.
Аполлон,,,СРТМ,,Эксплуатация,Дальневосточный,6501237700,"ООО ""РОСРЫБФЛОТ""",6bd40b483-305f-3f4b-9f72-f5a89caa4224,APOLLON,Камчатский край
Аргонавт,,,РШ,,Эксплуатация,Дальневосточный,6518004291,"ООО ""АРГО""",bb88609b6-67a3-ce07-8bb7-284a7b49d12a,ARGONAUT,Сахалинская обл.
Арина,,,СТР,,Эксплуатация,Дальневосточный,6518009557,"ООО ""ОСТРОВНОЙ-КРАБ""",d69146c6b-bd16-8569-5b61-3fbd3496cb93,OLDERSTEIN,Сахалинская обл.
Арина,,,СТР,,Эксплуатация,Дальневосточный,2539041064,"ООО  ""ИНТЕРРЫБФЛОТ""",d69146c6b-bd16-8569-5b61-3fbd3496cb93,OLDERSTEIN,Приморский край
Арка-31,ВК-5826,8661173,РТ,,Эксплуатация,Дальневосточный,2704007990,"ООО ""АНТЕЙ""",3929c9275-5079-005e-a855-2dd3f5dc238d,ARKA-31,Приморский край
Арка-34,,8909862,СРТМ,,Эксплуатация,Дальневосточный,2704007990,"ООО ""АНТЕЙ""",7b623f6b4-4998-59de-27bc-8d431c5efcfa,ARKA-34,Приморский край
Арка-37,,9185372,СРТМ,,Эксплуатация,Дальневосточный,2704007990,"ООО ""АНТЕЙ""",91e62f9bc-c37b-2517-e13f-da16c75af83a,ARKA-37,Приморский край
Арктик Лидер,,,СРТМ,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",a4181b83d-d22a-deaf-a51e-e9c107d1950d,,Сахалинская обл.
Арктик Лидер,,,СРТМ,,Эксплуатация,Дальневосточный,4101138370,ООО «ПОЛАР СИ»,a4181b83d-d22a-deaf-a51e-e9c107d1950d,,Камчатский край
