Название_судна,Бортовой_номер,IMO,Тип_Модель,Год_постройки,Состояние,Регион_работы,Судовладелец_ИНН,Судовладелец,GFW_ID,GFW_Name,Регион_регистрации
Капитан Фирсов,,9937153,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",b67f644fd-dfe8-3593-a6a6-760da1cbc05c,KAPITAN FIRSOV,Приморский край
Капитан Хазан,,9943956,РТ,,Эксплуатация,Дальневосточный,4101188821,"Организация ООО ""АЛЕСТАР""",d5c9468a1-1f29-7391-86fb-ded10e6468bb,KAPITAN KHAZAN,Камчатский край
Капитан Чернов,,9101015,СРТМ,,Эксплуатация,Дальневосточный,2540078397,"АО ""ДАЛЬРЫБПРОМ""",9d02285b0-0369-e400-a8f4-f42048829749,KAPITANCHERNOV,Приморский край
Капродон,АК-0757,9055204,,,Эксплуатация,Северный,2921001587,МОСКОВСКИЙ ФЛ РК ИМ. М. И. КАЛИНИНА,92ec51be6-617d-2521-0adf-8264fc44b2d1,LLV KAPRODON,Мурманская обл.
Каратаево,,8722070,СТР,,Эксплуатация,Дальневосточный,2536157293,"ООО ""СОЮЗ РЫБАКОВ""",6693d5181-1cb5-73fe-f929-eb531a7e4924,KARATAEVO,Приморский край
Карачарово,К-1676,8522303,,,Эксплуатация,Норвежский,3903017709,АО «МОРСКАЯ ЗВЕЗДА»,7c19d7c88-8f95-f736-46d6-af0dc6c2f1c3,KARACHAROVO,Калининградская обл.
Карелия II,М-0412,9306782,,,Эксплуатация,Северный,1011005348,ООО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ»,acf2d55c2-269d-9a77-1cad-ac4e988b7ed9,KARELIYA,Мурманская обл.
Каролина 77,,8821462,,,Эксплуатация,Дальневосточный,6501059302,"ООО «МИККОР""",cc09b6749-988b-f871-1a2a-ad4ce605f935,CAROLINA 77,Сахалинская обл.
Касима Мару № 8,,,СРТМ,,Эксплуатация,Дальневосточный,6501221019,ООО «ПРИМОРСКАЯ РЫБОЛОВНАЯ КОМПАНИЯ»,5d5ec1a9c-ca44-8b08-efd4-e98f45ea33eb,MARU MARU,Сахалинская обл.
Каюм,,8717049,РС,,Эксплуатация,Дальневосточный,2536308584,"АО ""Т-КРАБ""",19803c2dc-c54e-6430-0820-c6f756485a95,KAYUM,Приморский край
Кемь,СП-5018,,,,Эксплуатация,Северный,1011008571,"ООО ""РК ""ВИРМА""",cac5f0214-4801-83d7-d4f8-5afe97a10133,V<N TJKH +:0  0Z  :I,Мурманская обл.
Кепромар,МК-0113,6920094,,,Эксплуатация,Северный,5191324764,ООО «АРГО-М»,800027217-7ef2-542b-e64b-ea011cb217a9,KEPROMAR,Мурманская обл.
Киев,М-0206,8859885,,,Эксплуатация,Северный,5191324796,ООО «МУРМАНФИШПРОДАКТС»,0f41100c9-9ade-adff-ce1f-ff822f0e2549,KIEV,Мурманская обл.
Кингук,,8800468,СТМ,,Эксплуатация,Дальневосточный,2543105698,"ООО «ТРИЕРА""",1602d700a-a03e-0440-19fb-905368328fca,KINGUK,Приморский край
Кировка,,8722032,СТР,,Эксплуатация,Дальневосточный,2503029553,"ОАО ""РК ""ПРИМОРЕЦ""",c329bc695-51ce-9433-5b55-04571caea723,KIROVKA,Приморский край
Кишиневка,СТР-420,8423533,СТР,,Эксплуатация,Дальневосточный,4101120252,"ООО ""РИКО""",ba54e90f7-73c3-66de-3952-f5056cee92d6,KISHINEVKA,Камчатский край
Кишиневка,,8423533,СТР,,Эксплуатация,Дальневосточный,4101158009,"ООО ""Город 415""",ba54e90f7-73c3-66de-3952-f5056cee92d6,KISHINEVKA,Камчатский край
Кокшайск,М-0100,8133413,,,Эксплуатация,Северный,5111002203,СПК РК «ЧАПОМА»,da62494ab-b8a4-4661-bcaa-b3b96ccacdf0,KOKSHAYSK,Мурманская обл.
Командор,,8718158,РС,,Эксплуатация,Дальневосточный,2539041064,"ООО  ""ИНТЕРРЫБФЛОТ""",9cda982a2-2056-3bf0-8333-8aead3deb839,KOMANDOR,Приморский край
Командор,,8718158,РС,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",9cda982a2-2056-3bf0-8333-8aead3deb839,KOMANDOR,Сахалинская обл.
Комарно,МК-0188,8721985,,,Эксплуатация,Северный,5191314798,"ООО ""СЕВРЫБКОМФЛОТ""",d67647625-5bfa-ddda-75b5-c5f774d460ad,KOMARNO,Мурманская обл.
Комета Галлея,,8722812,СРТМ-К,,Эксплуатация,,9202002416,"ООО ""ГОЛДЕН ФИШ""",2eba0145f-f2c9-8986-c87c-1b1a44802bc0,KOMETA GALLEYA,г. Севастополь
Комиссарово,,,СТР,,Эксплуатация,Дальневосточный,2540078397,"АО ""ДАЛЬРЫБПРОМ""",,,Приморский край
Кондор,,,СРТМ,,Эксплуатация,Дальневосточный,6501231095,"ООО ""КУК""",1d1564b5e-ea1b-6bce-248b-2a9be53c7ae8,KONDOR,Сахалинская обл.
Конструктор Байбаков,,7645172,СРТМ-К,,Эксплуатация,,9202002416,"ООО ""ГОЛДЕН ФИШ""",1dab53a4e-efd1-2ee5-a97e-4b85d25628f6,KONSTRUKTOR BAYBAKOV,г. Севастополь
Корунд,М-0254,8710285,,,Эксплуатация,Северный,5190103233,"ООО «ЭРИДАН""",d8ed88e6f-f471-82cd-e521-db9d0734823c,POLARPESCA,Мурманская обл.
Кречет,,9183685,РС,,Эксплуатация,Дальневосточный,6518009557,"ООО ""ОСТРОВНОЙ-КРАБ""",c4d613777-714f-73f6-575b-b84580d77520,KRECHET,Сахалинская обл.
Кречет,,9183685,РС,,Эксплуатация,Дальневосточный,2539041064,"ООО  ""ИНТЕРРЫБФЛОТ""",c4d613777-714f-73f6-575b-b84580d77520,KRECHET,Приморский край
Крым,МК-0540,7727425,,,Эксплуатация,Северный,5190909506,"АО ""НОРД-ВЕСТ Ф.К.""",394785234-44e2-99cd-0272-fb478a81192b,KRYM,Мурманская обл.
Крымский,,8423583,РС,,Эксплуатация,Дальневосточный,2536304773,"ООО ""ПРИМКРАБ""",3eb8d6128-8385-e310-6dbd-5289ff69e1a7,KRYMSKIY,Приморский край
Куйбышевский,,,,,Эксплуатация,Дальневосточный,6511003637,"ООО ""КОНТИНЕНТ""",,,Сахалинская обл.
Курильский Десант,,,,,Эксплуатация,Дальневосточный,6515000242,"АО ""СК БСФ""",,,Сахалинская обл.
Куршская коса,К-1749,8607206,РТМКС,,Эксплуатация,Норвежский,3903017709,АО «МОРСКАЯ ЗВЕЗДА»,f092f3ec5-53fb-dcfa-f233-8aa083188769,KURSHSKAYA KOSA,Калининградская обл.
ЛАГАРТ,,9597575,,,Эксплуатация,Дальневосточный,4101153635,"АО ""ЯМСЫ""",754b7bb4e-e41c-e44e-6fd7-87c5210d0410,LAGART,Камчатский край
Лазурит,,8832590,РС,,Эксплуатация,Дальневосточный,2536319762,"ООО ""ДАЛЬНЕВОСТОЧНЫЙ КРАБ""",fbd0057b6-6ed1-0e09-a163-daeba5098b4a,LAZURIT,Приморский край
Лазурный,М-0342,,,,Эксплуатация,Северный,2901083479,"ООО ""АЙСБЕРГ-НОРД""",c8b0ec920-09c5-2ce3-1ace-dc21a1fdcc3b,LAZURNYY,Мурманская обл.
Лазурный,К-1987,,БАТМ,,Эксплуатация,Норвежский,3903000159,"ЗАО ""ВЕСТРЫБФЛОТ""",c8b0ec920-09c5-2ce3-1ace-dc21a1fdcc3b,LAZURNYY,Калининградская обл.
Лангери,,9550618,СТР,,Эксплуатация,Дальневосточный,6501255032,"ООО ""АКВАМАРИН""",e39146acf-fcef-4007-7921-cdbb2170718a,TAI HAI 5,Сахалинская обл.
Лангуста,,,БМРТ,,Эксплуатация,Дальневосточный,6511000178,ЗАО «КУРИЛЬСКИЙ РЫБАК»,,,Сахалинская обл.
Лари,,,СРТМ,,Эксплуатация,Дальневосточный,2723050060,"ООО ""СИГМА МАРИН ТЕХНОЛОДЖИ""",4d2dcd68f-f271-e3b4-b219-9d5601723012,LARI,Хабаровский край
Лев,МК20102,,,,Эксплуатация,Северный,5190103233,"ООО «ЭРИДАН""",9603f96a2-2b05-e8c2-2f8b-4bfcf181fe40,LEV,Мурманская обл.
Леопард,,,РШ,,Эксплуатация,Дальневосточный,2518000814,"ПАО ""ПБТФ""",bd3a5710e-e30f-ead8-1b12-92cfdd9e4ccb,LEOPARD2,Приморский край
Леопард,,,РШ,,Эксплуатация,Дальневосточный,6500010784,"ООО ""ОПЛОТ ПЛЮС""",bd3a5710e-e30f-ead8-1b12-92cfdd9e4ccb,LEOPARD2,Сахалинская обл.
Линдгольм,,8617859,,,Эксплуатация,Дальневосточный,4102006640,"Организация ООО ""РПЗ ""СОКРА""",2e5ee6f01-1301-ce56-25dc-c50d678f3935,LINDGOLM,Камчатский край
Лира,К-2147,,РТМКС,,Эксплуатация,Норвежский,3903017709,АО «МОРСКАЯ ЗВЕЗДА»,ab7404115-5626-a4a8-424f-b71fe55cf9ca,LIRA,Калининградская обл.
Лотос-04,,8608846,РШ,,Эксплуатация,Дальневосточный,6514008760,"ООО ""РЫБНЫЙ ОСТРОВ""",bc56a6fb1-1795-f15a-a568-ac5c6c5f0cae,LOTOS-04,Сахалинская обл.
Лунга,,7436375,СРТМ-К,,Эксплуатация,,9204551066,"ООО ""ДКЛ-ПРОДУКТ""",2cf06f73c-ce2c-6fe2-232f-06dfb03547e6,LUNGA,г. Севастополь
Лунтос,,9894935,РС,,Эксплуатация,Дальневосточный,4100006765,"ООО РК «ЛУНТОС""",01bfc495e-e2f9-c846-fd17-5a9c20f96554,LUNTOS,Камчатский край
Лучегорск,,9796846,РШ,,Эксплуатация,Дальневосточный,2518000814,"ПАО ""ПБТФ""",c77c12d43-3755-b6f6-fddd-4499b3eccff5,LUCHEGORSK,Приморский край
Лучегорск,,9796846,РШ,,Эксплуатация,Дальневосточный,2503032468,"ООО ""РК ""НОВЫЙ МИР""",c77c12d43-3755-b6f6-fddd-4499b3eccff5,LUCHEGORSK,Приморский край
МЕЛЬКАРТ-7,МК7170,8615318,,,Эксплуатация,Северный,5193410761,"АО ""Мурман СиФуд""",17d5630c6-6445-4864-d793-0621d518b8a2,MELKART-7,Мурманская обл.
МЕХАНИК КОВТУН,ПК-2452,8907125,,,Эксплуатация,Дальневосточный,4101151638,"АО ""АКРОС 3""",5569dc167-7eb7-7dc9-e0c0-f08d41ea3ffb,MEKHANIK KOVTUN,Камчатский край
МУРМАН 2,МК5093,9564190,,,Эксплуатация,Северный,5190081090,"ООО ""Антей Север""",7bf217d65-5957-99cc-7750-dd476de5d542,MURMAN 2,Мурманская обл.
МФТ,,,МФТ,,Эксплуатация,Дальневосточный,4909053889,"ООО «ТИХРЫБКОМ""",533a18bbd-d11c-ae12-f27e-19a546eb8b77,M D T,Магаданская обл.
Майборг,,7234868,СРТМ,,Эксплуатация,Дальневосточный,4105045951,"Организация АО ""РК ""МАЛКИНСКОЕ""",e8529baa6-6e65-6813-a6c8-e9f6cab0afed,MAYBORG,Камчатский край
Марк Любовский,,,,,Эксплуатация,Северный,2901128602,"АО ""АТФ""",df700cb66-645c-9933-ceda-409ec6a48ebc,WEEKEND WARRIOR,Мурманская обл.
Марс,,,СРТМ,,Эксплуатация,Дальневосточный,6501237700,"ООО ""РОСРЫБФЛОТ""",62c7f62b7-711d-8118-35f7-572d16e59681,MARS,Камчатский край
Марта Арендзее,МК-0369,8522250,,,Эксплуатация,Северный,5105003590,ООО «ГЕЛА»,b0d542ebd-d3b2-2498-4126-39c8c452989e,MARTA ARENDZEE,Мурманская обл.
Мастер,,,СТР,,Эксплуатация,Дальневосточный,2700022050,"ООО ""ХОЛОДНОЕ МОРЕ""",769de196a-a767-7570-452b-09967d1c80a5,MASTER,Хабаровский край
Мастер,,,СРТМ,,Эксплуатация,Дальневосточный,2508130290,"ООО ""ОКЕАНСНАБ""",769de196a-a767-7570-452b-09967d1c80a5,MASTER,Приморский край
Мастер,,,СТР,,Эксплуатация,Дальневосточный,2700001973,"ООО ""ТИХООКЕАНСКИЙ ФЛОТ""",769de196a-a767-7570-452b-09967d1c80a5,MASTER,Хабаровский край
Матвей Кузьмин,,8721117,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",bfbf5339f-ffba-9c66-947a-d62790ce37f4,MATVEY KUZMIN,Камчатский край
Матрица,,8810451,СРТМ,,Эксплуатация,Дальневосточный,2704007990,"ООО ""АНТЕЙ""",78b2e1bb5-5279-2e0a-e8f6-d349483ea86b,MATRITSA,Приморский край
Мелькарт,M-0239,7426863,,,Эксплуатация,Северный,5193410761,"АО ""Мурман СиФуд""",454996a2d-d1d0-ddb1-b341-9a29b589d1d6,MELKART,Мурманская обл.
Мелькарт-2,М-0418,8701959,,,Эксплуатация,Северный,5193410761,"АО ""Мурман СиФуд""",0967b5b67-7436-ee9d-5a2a-4faa1f2f6b17,MELKART 2,Мурманская обл.
Мелькарт-3,М-0350,8801931,,,Эксплуатация,Северный,5193410761,"АО ""Мурман СиФуд""",ac403f03d-d710-235e-7388-47b5c1b2308e,MELKART 3,Мурманская обл.
Мелькарт-4,МК-0354,8714530,,,Эксплуатация,Северный,5193410761,"АО ""Мурман СиФуд""",f660c9651-18f6-149d-dcfc-f6f2e07a7a4f,MELKART-4,Мурманская обл.
Мелькарт-5,МК-0588,9130183,,,Эксплуатация,Северный,5193410761,"АО ""Мурман СиФуд""",322ceb791-157d-3d5b-a567-137e6711113d,MELKART-5,Мурманская обл.
Мелькарт-6,МК9760,8704834,,,Эксплуатация,Северный,5193410761,"АО ""Мурман СиФуд""",3a9dbf24e-e935-3102-2612-eb9f1943408b,MELKART-6,Мурманская обл.
Мерланг,,8717192,РС,,Эксплуатация,Дальневосточный,4101138370,ООО «ПОЛАР СИ»,e44f102bc-cf66-920b-dac1-a0d5bbedd6e5,MERLANG,Камчатский край
Мерланг,,8717192,РС,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",e44f102bc-cf66-920b-dac1-a0d5bbedd6e5,MERLANG,Сахалинская обл.
Механик Маслак,,9878333,БМРТ,,Эксплуатация,Дальневосточный,2536306530,"ООО ""НОВОСТРОЙ""",8ba6795aa-a2e2-7ef0-a3b5-8c5cb6e34888,MEKHANIK MASLAK,Приморский край
Механик Романча,,8860121,СТР,,Эксплуатация,Дальневосточный,2715000919,Рыбколхоз им. Ленина,7793988e1-1161-e04c-64a0-97695c4fb000,MEKHANIK ROMANCHA,Хабаровский край
Механик Сергей Агапов,МК-0538,9591296,,,Эксплуатация,Северный,5191309942,ООО «РОБИНЗОН»,11705c7a4-4f82-3526-1ee7-c50392f35447,MEKHANIK S. AGAPOV,Мурманская обл.
Механик Сизов,,9896153,БМРТ,,Эксплуатация,Дальневосточный,2536306555,"ООО ""РРПК ВОСТОК""",2b08610ad-d539-e1b3-387f-416d637d82fc,MEKHANIK SIZOV,Приморский край
Министр Ишков,,8721105,СТР,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",7d66294cb-b2f7-6b8b-554d-6ef6c7a365e9,MINISTR ISHKOV,Камчатский край
Мирах,МК-0381,,,,Эксплуатация,Северный,5193104130,АО «МУРМАНСЕЛЬДЬ 2»,65a12a602-2a56-8953-a9f0-7ab60852803e,MIRAH,Мурманская обл.
Морион,,,РС,,Эксплуатация,Дальневосточный,6518004020,"ООО ""МОРИОН""",bb0c2bb15-5a55-15e8-3911-087fe4b83b65,MY ORION,Сахалинская обл.
Морской Бриз,М-0344,8722111,,,Эксплуатация,Северный,5110310861,"ОАО ""СЕВЕРОМОРСКИЙ АЛЬЯНС""",86754224d-ddad-40f5-e675-a4166e7820a9,MORSKOY BRIZ,Мурманская обл.
Муравьев-Амурский,,9146352,,,Эксплуатация,Дальневосточный,8203002819,"ООО ""ТЫМЛАТСКИЙ РЫБОКОМБИНАТ""",9510a8311-1b08-37de-1888-82e64a063c74,MURAVYEV-AMURSKIY,Камчатский край
Мурман-1,МК-5695,9576181,,,Эксплуатация,Северный,5190081090,"ООО ""Антей Север""",4b5ea9680-001d-e910-a6e2-15e540aceb48,MURMAN 1,Мурманская обл.
Мурманск,М-0115,,,,Эксплуатация,Северный,2917000164,"СПК  ""РК   ""СЕВЕР""",a051ea7c0-0327-38cd-d438-561109e75d83,MURMANSK,Мурманская обл.
Мурманск,М-0115,,,,Эксплуатация,Северный,2921001636,"СПК ""РК ""БЕЛОМОР""",a051ea7c0-0327-38cd-d438-561109e75d83,MURMANSK,Мурманская обл.
Мыс Басаргина,,8423557,БМРТ,,Эксплуатация,Дальневосточный,7701384421,"ООО ""РМД ЮВА 1""",eda00a02c-cda6-e000-b655-2867811de4ad,MYS BASARGINA,Приморский край
Мыс Гвоздева,МК3732,9053268,,,Эксплуатация,Северный,1018005330,"АО ""АЛЬТЕРНАТИВА""",7fbf3e827-7698-cd09-d90a-9a7bb2ccadb7,MYS GVOZDEVA,Мурманская обл.
Мыс Датта,,9053309,СРТМ,,Эксплуатация,Дальневосточный,6507005529,"ООО «ПОРОНАЙ""",30e0a6caf-f4e1-58bc-570e-d97cb48918eb,MYS DATTA,Сахалинская обл.
Мыс Докучаева,,9053323,СРТМ,,Эксплуатация,Дальневосточный,6501078432,"ООО ""ПО САХАЛИНРЫБАКСОЮЗ»",c59c3d010-0b9b-a27b-c31c-a14472461d39,MYS DOKUCHAEVA,Сахалинская обл.
Мыс Коммунаров,,7821910,ТР,,Эксплуатация,Дальневосточный,6515003317,"ООО ""АЛАИД""",285fdedef-f28a-d9f2-4bb1-81189abe977b,MYS KOMMUNAROV,Сахалинская обл.
Мыс Крузенштерна,,9053361,,,Эксплуатация,Дальневосточный,6509006140,"АО ""Сахалин Лизинг Флот""",30f43f3cc-c384-7cfe-9832-a244dc189bb9,MYS KRUZENSHTERNA,Камчатский край
Мыс Курбатова,,9053397,СРТМ,,Эксплуатация,Дальневосточный,6509013155,"ООО ФИРМА ""ПОСЕЙДОН""",1aabc3089-9666-e2e2-e8ec-e164e2dcc290,MYS KURBATOVA,Сахалинская обл.
Мыс Левенорна,,9053270,СРТМ,,Эксплуатация,Дальневосточный,6501078432,"ООО ""ПО САХАЛИНРЫБАКСОЮЗ»",4cf8d8742-2fea-4455-c5f7-cc79509da268,MYS LEVENORNA,Сахалинская обл.
Мыс Ловцова,,9053311,,,Эксплуатация,Дальневосточный,6509006140,"АО ""Сахалин Лизинг Флот""",086dbea53-337b-14d3-f7cc-8a8d20af0f07,MYS LOVTSOVA,Камчатский край
Мыс Меньшикова,,9053385,СРТМ,,Эксплуатация,Дальневосточный,6501078432,"ООО ""ПО САХАЛИНРЫБАКСОЮЗ»",129fecd27-7d07-bda7-45c7-5e6187cde27d,MYS MENSHIKOVA,Сахалинская обл.
Мыс Муравьёва,,9053373,,,Эксплуатация,Дальневосточный,6509006140,"АО ""Сахалин Лизинг Флот""",bf434a1b5-5195-f66e-131a-2f3e0a99ea8b,MYS MURAVJEVA,Камчатский край
Мыс Олюторский,,8859938,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",313386142-2137-24f7-b33d-9e2695250afa,MYS OLYUTORSKIY,Камчатский край
Мыс Рубикон,,8921614,СТМ,,Эксплуатация,Дальневосточный,2543165062,"ООО ""СОЮЗНЫЕ РЫБНЫЕ ПРОМЫСЛЫ""",0bb44484c-c1ab-ca5f-762b-9f7662d0fa28,MYS.RUBIKON,Приморский край
Мыс Слепиковского,МК-0682,9053347,,,Эксплуатация,Северный,5190405869,"АО «РЫБПРОМИНВЕСТ""",74cbbe159-9059-8ca9-7eb2-39cc89d76f58,MYS SLEPIKOVSKOGO,Мурманская обл.
Мыс Урумпет,,,,,Эксплуатация,Дальневосточный,6501312153,"ООО ""ПАЛТУСЫ ВОСТОКА""",5685e2568-84f6-6dea-d66e-3d5b7e7d5d46,MYS NADEZHDA,Сахалинская обл.
Мыс Чихачева,МК3882,9053282,,,Эксплуатация,Северный,5190303200,"ООО «КАРАТ-1""",21d523a9b-b957-af8e-45aa-310c6d95381d,MYS CHIKHACHEVA,Мурманская обл.
Мыс Чупрова,,9053335,СРТМ,,Эксплуатация,Дальневосточный,4101138370,ООО «ПОЛАР СИ»,90a827a34-4aa1-6c0f-3231-69afc8c30976,MYS CHUPROVA,Камчатский край
Мыс Чупрова,,,СРТМ,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",5685e2568-84f6-6dea-d66e-3d5b7e7d5d46,MYS NADEZHDA,Сахалинская обл.
Мыс Шельтинга,МК3906,9053359,,,Эксплуатация,Северный,2917001834,"ООО «СОГРА""",123558546-6d69-a727-1226-4c5bfa4c0e9f,MYS SHELTINGA,Мурманская обл.
НАГГЕТ,,,СРТМ,,Эксплуатация,Дальневосточный,2723050060,"ООО ""СИГМА МАРИН ТЕХНОЛОДЖИ""",540a7b24f-f71f-6065-11a4-53be7fd3f74d,NUGGET,Хабаровский край
НОРВЕЖСКОЕ МОРЕ,АК5440,,,,Эксплуатация,Северный,2901128602,"АО ""АТФ""",ec99113e8-8967-1ed5-6d88-d68ad2bca514,NORVEZHSKOE MORE,Мурманская обл.
НОРДКАП,МК-0271,9100853,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,6644b58ce-e7c9-3d4c-229d-582a705c8c13,"MK-0363 ""NORDKAP""",Мурманская обл.
Надежда,,,РШ,,Эксплуатация,Дальневосточный,2505008333,"ООО ""МОРСКОЙ БРИЗ""",1c791c2c6-6ec9-d4b4-125d-320e973662d9,NADEZHDA,Приморский край
Назимов,,8662634,РС,,Эксплуатация,Дальневосточный,2536334993,"ООО ""ВЛАДКРАБ""",391a774c1-1232-308c-ef48-2a963eb5ee55,NAZIMOV,Приморский край
Нептун,МК-0659,,,,Эксплуатация,Северный,5191204516,"ООО ""Арктиксервис""",ce6393006-6f4b-35b3-ba4a-b8e0cc1df7da,NEPTUN,Мурманская обл.
Несь,АК-0921,8890243,,,Эксплуатация,Северный,2921001587,МОСКОВСКИЙ ФЛ РК ИМ. М. И. КАЛИНИНА,fa948c54c-c97d-019d-9a7f-ae7f46f67853,NES,Мурманская обл.
Нефритовый,,9258038,РС,,Эксплуатация,Дальневосточный,2536319762,"ООО ""ДАЛЬНЕВОСТОЧНЫЙ КРАБ""",c6543dfcd-dd8a-40df-7409-98cfba4145ca,NEFRITOVYY,Приморский край
Нива-5,,,,,Эксплуатация,Дальневосточный,6518004975,"ООО ""КОРВЕЛ""",74d07f707-78ec-bb35-d4cc-e5a83220be5e,NIVA-5,Сахалинская обл.
Николай Теленков,,8607139,РТМС,,Эксплуатация,Дальневосточный,4909119177,"ООО ""МАГАДАНПРОМФЛОТ""",bf1f19968-865a-cc8b-8eae-a4e84bf8a9ca,NIKOLAY TELENKOV,Магаданская обл.
Николай Чепик,,8826670,БМРТ,,Эксплуатация,Дальневосточный,2508007948,"ПАО ""НБАМР""",462c71698-8e83-c7b0-a088-cc284297c16a,NIKOLAY CHEPIK,Приморский край
Никольский,М-0389,8924549,,,Эксплуатация,Северный,5190411189,"АО ""СЗРК-М""",0ebb0d187-7e6f-8b83-d939-614449b9fd8e,NIKOLSKIY,Мурманская обл.
Ником,,8226765,СТР,,Эксплуатация,Дальневосточный,2508028394,"ООО ""Инсоф Марин""",f5435ca58-8c49-c9e3-a157-f24183b6da79,N I K O M,Приморский край
Новая Земля,М-0341,9249922,,,Эксплуатация,Северный,5190158698,ООО «РКФ»,dd2e6c08d-db79-ec04-c5bc-d6faa369f817,NOVAYA ZEMLYA,Мурманская обл.
Новик,,9344605,РС,,Эксплуатация,Дальневосточный,2536334993,"ООО ""ВЛАДКРАБ""",f2ba05925-539a-4659-da9b-4474b91482bc,NOVIK,Приморский край
Новоульяновск,,7932757,РТ,,Эксплуатация,Дальневосточный,2540071722,"ЗАО ""ПАСИФИК МАРИН""",261a61df8-86f7-7d50-72bf-3c944b82bd06,NOVOULYANOVSK,Приморский край
Новоуральск,,7943184,БМРТ,,Эксплуатация,Дальневосточный,2721023255,"ООО ""ВОСТОКРЫБПРОМ""",938a3f051-15ea-794f-f2f0-f5dd876df3e2,NOVO 23,Хабаровский край
Норд Вест,МК-0553,,,,Эксплуатация,Северный,5190909506,"АО ""НОРД-ВЕСТ Ф.К.""",18429236e-ea68-873d-9272-35980eb61f74,S/Y NORDVEST,Мурманская обл.
Норд трал,МК-0641,9219771,,,Эксплуатация,Северный,5190306152,"РК ""БЕЛОМОРСКИЙ РЫБАК""",3f5d36e67-7b21-5056-7dea-c99acae89650,NORD TRAL,Мурманская обл.
Нордкап,МК-0271,9100853,,,Эксплуатация,Северный,1018005330,"АО ""АЛЬТЕРНАТИВА""",6644b58ce-e7c9-3d4c-229d-582a705c8c13,"MK-0363 ""NORDKAP""",Мурманская обл.
Обаятельный,,8724377,РС,,Эксплуатация,Дальневосточный,2536304773,"ООО ""ПРИМКРАБ""",9bbfa3ce9-9869-8320-b79d-f37cfda5ff1c,OBAYATELNYY,Приморский край
Обеляй,М-0073,8522286,,,Эксплуатация,Северный,5191315872,ООО «НОРД ПИЛИГРИМ»,1b93609f2-21e5-6db8-7633-3329bdd6143c,OBELIAI,Мурманская обл.
Ожерелье,К-2162,8422876,,,Эксплуатация,Норвежский,3910005694,"ООО ""ЗАПМОРФЛОТ""",2a870fa64-4f49-e4ab-e457-50b49fac7bf6,F/V OZHERELYE,Калининградская обл.
Оксино,МК-0312,8729432,,,Эксплуатация,Северный,2902063524,"ООО ""РК ПУТИНА""",021a7cab7-73d0-bc5c-7702-666a8b117678,OKSINO,Мурманская обл.
Олафссон,,7704708,СРТМ,,Эксплуатация,Дальневосточный,2704007990,"ООО ""АНТЕЙ""",e4317e6ed-d3df-cc4c-312c-88064680dec3,OLAFSSON,Приморский край
Ольховатка,,7421198,РС,,Эксплуатация,Дальневосточный,6518004823,"ООО ""СОЮЗОКЕАН""",4dc38a134-4219-7b0d-1e57-aee6f4e50979,OLKHOVATKA,Сахалинская обл.
Ома,М-0070,,,,Эксплуатация,Северный,5110330018,"СПК РК ""МУРМАН""",a29bdb219-98ff-f24c-3a97-c8bb38470257,OMA,Мурманская обл.
Опал,,,БМРТ,,Эксплуатация,Дальневосточный,2537068039,"ООО ""ДАЛЬТРАНСФЛОТ""",ebf7daa1e-ec39-2e00-5779-780a50c2b1af,BOU-12 HUNTER,Хабаровский край
Орвар,МК-0474,9050711,,,Эксплуатация,Северный,5190500022,АО НПП «ВЕГА»,95a89089b-ba3b-7183-7585-64d25d509f93,ORVAR,Мурманская обл.
Освейское,К-2165,8415574,СРТМ,,Эксплуатация,Норвежский,3905000203,"АО «АТЛАНТРЫБФЛОТ""",6b7d39acc-cb00-9690-e979-2e8be73d9ad0,OSVEYSKOYE,Калининградская обл.
Оссора,,8721856,СТР,,Эксплуатация,Дальневосточный,4909122123,"ООО ""Магаданрыба 2""",955b4ff4b-b269-f326-2b9c-93e57b1c044f,OSSORA,Магаданская обл.
Остров Итуруп,,8847246,БМРТ,,Эксплуатация,Дальневосточный,6507005529,"ООО «ПОРОНАЙ""",89b3dff36-66a3-6e46-bfe9-e4c61701dddc,OSTROV ITURUP,Сахалинская обл.
Остров Кунашир,,,БМРТ,,Эксплуатация,Дальневосточный,2518000814,"ПАО ""ПБТФ""",4c16f0254-4bdc-190c-d3bc-da00fc412e7a,R82-88ME,Приморский край
Остров Монерон,,8907266,СРТМ,,Эксплуатация,Дальневосточный,6515000242,"АО ""СК БСФ""",4626735a8-868c-e421-7729-24958ec3b3ea,ANGEL 121,Сахалинская обл.
