Запись,Компания,Компания_ИНН,Год,Бассейн,Объект_лова,Тип_квоты,Доля_процент,Объем_тонн,Дата_начала_договора,Дата_окончания_договора,Причина_изменения,Группа_компаний
"ООО ""Дальрыбфлотпродукт"" — Палтус белокорый — 2023","ООО ""Дальрыбфлотпродукт""",4909073370,2023,Дальневосточный,Палтус белокорый,Промышленная,0.092,0.101,03.06.2020,02.06.2035,,
ООО «ДАЛЬРЫБФЛОТПРОДУКТ» — Палтус белокорый — 2026,ООО «ДАЛЬРЫБФЛОТПРОДУКТ»,4909073370,2026,Дальневосточный,Палтус белокорый,Промышленная,,0.092,nan,nan,,
"ООО ""Дальрыбфлотпродукт"" — Палтус белокорый (112) — 2023","ООО ""Дальрыбфлотпродукт""",4909073370,2023,Дальневосточный,Палтус белокорый (112),Промышленная,0.092,0.101,03.06.2020,02.06.2035,,
"ООО ""ДАЛЬРЫБФЛОТПРОДУКТ"" — Палтус белокорый (112) — 2024","ООО ""ДАЛЬРЫБФЛОТПРОДУКТ""",4909073370,2024,Дальневосточный,Палтус белокорый (112),Промышленная,0.092,0.062,03.06.2020,02.06.2035,Биология/ОДУ,
"ООО ""ДАЛЬРЫБФЛОТПРОДУКТ"" — Палтус белокорый (112) — 2025","ООО ""ДАЛЬРЫБФЛОТПРОДУКТ""",4909073370,2025,Дальневосточный,Палтус белокорый (112),Промышленная,0.092,0.046,03.06.2020,02.06.2035,Регулятор/Инвестквоты,
"ООО ""ДАЛЬРЫБФЛОТПРОДУКТ"" — Палтус белокорый (112) — 2026","ООО ""ДАЛЬРЫБФЛОТПРОДУКТ""",4909073370,2026,Дальневосточный,Палтус белокорый (112),Промышленная,0.092,0.044,03.06.2020,02.06.2035,,
"ООО ""Дальрыбфлотпродукт"" — Палтус черный — 2023","ООО ""Дальрыбфлотпродукт""",4909073370,2023,Дальневосточный,Палтус черный,Промышленная,0.092,0.397,03.06.2020,02.06.2035,,
ООО «ДАЛЬРЫБФЛОТПРОДУКТ» — Палтус черный — 2026,ООО «ДАЛЬРЫБФЛОТПРОДУКТ»,4909073370,2026,Дальневосточный,Палтус черный,Промышленная,,0.092,nan,nan,,
"ООО ""Дальрыбфлотпродукт"" — Палтус черный (113) — 2023","ООО ""Дальрыбфлотпродукт""",4909073370,2023,Дальневосточный,Палтус черный (113),Промышленная,0.092,0.397,03.06.2020,02.06.2035,,
"ООО ""ДАЛЬРЫБФЛОТПРОДУКТ"" — Палтус черный (113) — 2024","ООО ""ДАЛЬРЫБФЛОТПРОДУКТ""",4909073370,2024,Дальневосточный,Палтус черный (113),Промышленная,0.092,0.079,03.06.2020,02.06.2035,Регулятор/Инвестквоты,
"ООО ""ДАЛЬРЫБФЛОТПРОДУКТ"" — Палтус черный (113) — 2025","ООО ""ДАЛЬРЫБФЛОТПРОДУКТ""",4909073370,2025,Дальневосточный,Палтус черный (113),Промышленная,0.092,0.072,03.06.2020,02.06.2035,Биология/ОДУ,
"ООО ""ДАЛЬРЫБФЛОТПРОДУКТ"" — Палтус черный (113) — 2026","ООО ""ДАЛЬРЫБФЛОТПРОДУКТ""",4909073370,2026,Дальневосточный,Палтус черный (113),Промышленная,0.092,0.073,03.06.2020,02.06.2035,,
"ООО «ДАЛЬРЫБФЛОТПРОДУКТ» — Палтусы (белокорый, черный) — 2026",ООО «ДАЛЬРЫБФЛОТПРОДУКТ»,4909073370,2026,Дальневосточный,"Палтусы (белокорый, черный)",Промышленная,,0.092,nan,nan,,
"ООО ""Таксосервис"" — Сельдь — 2023","ООО ""Таксосервис""",4909078918,2023,Дальневосточный,Сельдь,Промышленная,0.002,5.347,06.09.2018,05.09.2033,,
"ООО ""ТАКСОСЕРВИС"" — Сельдь — 2024","ООО ""ТАКСОСЕРВИС""",4909078918,2024,Дальневосточный,Сельдь,Промышленная,0.002,5.004,06.09.2018,05.09.2033,Биология/ОДУ,
"ООО ""ТАКСОСЕРВИС"" — Сельдь — 2025","ООО ""ТАКСОСЕРВИС""",4909078918,2025,Дальневосточный,Сельдь,Промышленная,0.002,4.835,06.09.2018,05.09.2033,,
"ООО ""ТАКСОСЕРВИС"" — Сельдь — 2026","ООО ""ТАКСОСЕРВИС""",4909078918,2026,Дальневосточный,Сельдь,Промышленная,0.002,6.011,06.09.2018,05.09.2033,,
ООО «ТАКСОСЕРВИС» — Сельдь — 2026,ООО «ТАКСОСЕРВИС»,4909078918,2026,Дальневосточный,Сельдь,Промышленная,,0.002,nan,nan,Регулятор/Инвестквоты,
"АО ""Тралком"" — Минтай — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Минтай,Промышленная,1.123,5321.811,06.09.2018,05.09.2033,,
"АО ""Тралком"" — Минтай — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Минтай,Промышленная,0.945,2767.061,06.09.2018,05.09.2033,,
"АО ""Тралком"" — Минтай — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Минтай,Промышленная,0.44,985.068,06.09.2018,05.09.2033,,
"АО ""Тралком"" — Минтай — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Минтай,Промышленная,0.37,218.872,06.09.2018,05.09.2033,,
"АО ""Тралком"" — Минтай — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Минтай,Промышленная,1.123,13.658,06.09.2018,05.09.2033,,
"АО ""Тралком"" — Минтай — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Минтай,Промышленная,0.092,56.387,06.09.2018,05.09.2033,,
"АО ""ТРАЛКОМ"" — Минтай — 2023","АО ""ТРАЛКОМ""",4909084252,2023,Дальневосточный,Минтай,Промышленная,1.123,13.658,06.09.2018,05.09.2033,,
"АО ""ТРАЛКОМ"" — Минтай — 2024","АО ""ТРАЛКОМ""",4909084252,2024,Дальневосточный,Минтай,Промышленная,1.123,5468.418,06.09.2018,05.09.2033,Биология/ОДУ,
"АО ""ТРАЛКОМ"" — Минтай — 2024","АО ""ТРАЛКОМ""",4909084252,2024,Дальневосточный,Минтай,Промышленная,0.37,227.928,06.09.2018,05.09.2033,Биология/ОДУ,
"АО ""ТРАЛКОМ"" — Минтай — 2025","АО ""ТРАЛКОМ""",4909084252,2025,Дальневосточный,Минтай,Промышленная,1.123,6091.924,06.09.2018,05.09.2033,,
"АО ""ТРАЛКОМ"" — Минтай — 2025","АО ""ТРАЛКОМ""",4909084252,2025,Дальневосточный,Минтай,Промышленная,0.37,245.331,06.09.2018,05.09.2033,Регулятор/Инвестквоты,
"АО ""ТРАЛКОМ"" — Минтай — 2026","АО ""ТРАЛКОМ""",4909084252,2026,Дальневосточный,Минтай,Промышленная,1.123,4718.86,06.09.2018,05.09.2033,Биология/ОДУ,
"АО ""ТРАЛКОМ"" — Минтай — 2026","АО ""ТРАЛКОМ""",4909084252,2026,Дальневосточный,Минтай,Промышленная,0.37,305.812,06.09.2018,05.09.2033,Биология/ОДУ,
АО «ТРАЛКОМ» — Минтай — 2026,АО «ТРАЛКОМ»,4909084252,2026,Дальневосточный,Минтай,Промышленная,,1.123,nan,nan,Биология/ОДУ,
"АО ""Тралком"" — Сельдь — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Сельдь,Промышленная,3.005,8034.255,06.09.2018,05.09.2033,,
"АО ""ТРАЛКОМ"" — Сельдь — 2024","АО ""ТРАЛКОМ""",4909084252,2024,Дальневосточный,Сельдь,Промышленная,3.005,7517.36,06.09.2018,05.09.2033,Биология/ОДУ,
"ао ""тралком"" — Сельдь — 2025","ао ""тралком""",4909084252,2025,Дальневосточный,Сельдь,Промышленная,3.005,7263.439,06.09.2018,05.09.2033,,
"АО ""ТРАЛКОМ"" — Сельдь — 2026","АО ""ТРАЛКОМ""",4909084252,2026,Дальневосточный,Сельдь,Промышленная,3.005,9031.465,06.09.2018,05.09.2033,,
АО «ТРАЛКОМ» — Сельдь — 2026,АО «ТРАЛКОМ»,4909084252,2026,Дальневосточный,Сельдь,Промышленная,,3.005,nan,nan,Регулятор/Инвестквоты,
"АО ""Тралком"" — Треска — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Треска,Промышленная,0.433,343.37,06.09.2018,05.09.2033,,
"АО ""Тралком"" — Треска — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Треска,Промышленная,0.084,9.022,06.09.2018,05.09.2033,,
"АО ""Тралком"" — Треска — 2023","АО ""Тралком""",4909084252,2023,Дальневосточный,Треска,Промышленная,0.084,9.022,06.09.2018,05.09.2033,,
"АО ""ТРАЛКОМ"" — Треска — 2023","АО ""ТРАЛКОМ""",4909084252,2023,Дальневосточный,Треска,Промышленная,0.433,347.717,06.09.2018,05.09.2033,,
"АО ""ТРАЛКОМ"" — Треска — 2024","АО ""ТРАЛКОМ""",4909084252,2024,Дальневосточный,Треска,Промышленная,0.433,211.125,06.09.2018,05.09.2033,Биология/ОДУ,
"АО ""ТРАЛКОМ"" — Треска — 2024","АО ""ТРАЛКОМ""",4909084252,2024,Дальневосточный,Треска,Промышленная,0.084,7.658,06.09.2018,05.09.2033,Биология/ОДУ,
"АО ""ТРАЛКОМ"" — Треска — 2025","АО ""ТРАЛКОМ""",4909084252,2025,Дальневосточный,Треска,Промышленная,0.433,178.51,06.09.2018,05.09.2033,Биология/ОДУ,
"АО ""ТРАЛКОМ"" — Треска — 2025","АО ""ТРАЛКОМ""",4909084252,2025,Дальневосточный,Треска,Промышленная,0.084,8.165,06.09.2018,05.09.2033,Биология/ОДУ,
"АО ""ТРАЛКОМ"" — Треска — 2026","АО ""ТРАЛКОМ""",4909084252,2026,Дальневосточный,Треска,Промышленная,0.433,177.803,06.09.2018,05.09.2033,,
"АО ""ТРАЛКОМ"" — Треска — 2026","АО ""ТРАЛКОМ""",4909084252,2026,Дальневосточный,Треска,Промышленная,0.084,7.393,06.09.2018,05.09.2033,Биология/ОДУ,
АО «ТРАЛКОМ» — Треска — 2026,АО «ТРАЛКОМ»,4909084252,2026,Дальневосточный,Треска,Промышленная,,0.433,nan,nan,Биология/ОДУ,
ИП Глава КФХ Розенко Денис Евг — Камбалы дальневосточные — 2023,ИП Глава КФХ Розенко Денис Евгеньевич,490908436921,2023,Дальневосточный,Камбалы дальневосточные,Промышленная,0.449,27.316,20.10.2020,19.10.2035,,
ГКФХ Розенко Денис Евгеньевич — Камбалы дальневосточные — 2026,ГКФХ Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,Камбалы дальневосточные,Промышленная,,0.449,nan,nan,,
ИП Глава КФХ Розенко Денис Евг — Камбалы дальневосточные (451) — 2023,ИП Глава КФХ Розенко Денис Евгеньевич,490908436921,2023,Дальневосточный,Камбалы дальневосточные (451),Промышленная,0.449,27.316,20.10.2020,19.10.2035,,
"КФХ, главой которого является  — Камбалы дальневосточные (451) — 2024","КФХ, главой которого является ИП Розенко Д.Е.",490908436921,2024,Дальневосточный,Камбалы дальневосточные (451),Промышленная,0.449,26.178,20.10.2020,19.10.2035,,
Глава крестьянского (фермерско — Камбалы дальневосточные (451) — 2025,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2025,Дальневосточный,Камбалы дальневосточные (451),Промышленная,0.449,27.918,20.10.2020,19.10.2035,,
Глава крестьянского (фермерско — Камбалы дальневосточные (451) — 2026,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,Камбалы дальневосточные (451),Промышленная,0.449,27.888,20.10.2020,19.10.2035,,
ИП Глава КФХ Розенко Денис Евг — Краб — 2023,ИП Глава КФХ Розенко Денис Евгеньевич,490908436921,2023,Дальневосточный,Краб,Промышленная,7.261,7.875,20.10.2021,19.10.2036,,
Глава крестьянского (фермерско — Краб — 2024,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2024,Дальневосточный,Краб,Промышленная,7.261,6.125,20.10.2021,19.10.2036,Биология/ОДУ,
Глава крестьянского (фермерско — Краб — 2025,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2025,Дальневосточный,Краб,Промышленная,7.261,5.95,20.10.2021,19.10.2036,,
Глава крестьянского (фермерско — Краб — 2026,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,Краб,Промышленная,7.261,6.016,20.10.2021,19.10.2036,,
ГКФХ Розенко Денис Евгеньевич — Краб — 2026,ГКФХ Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,Краб,Промышленная,,7.261,nan,nan,,
ИП Глава КФХ Розенко Денис Евг — Палтус белокорый — 2023,ИП Глава КФХ Розенко Денис Евгеньевич,490908436921,2023,Дальневосточный,Палтус белокорый,Промышленная,0.008,0.009,02.07.2020,01.07.2035,,
ГКФХ Розенко Денис Евгеньевич — Палтус белокорый — 2026,ГКФХ Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,Палтус белокорый,Промышленная,,0.008,nan,nan,,
ИП Глава КФХ Розенко Денис Евг — Палтус белокорый (112) — 2023,ИП Глава КФХ Розенко Денис Евгеньевич,490908436921,2023,Дальневосточный,Палтус белокорый (112),Промышленная,0.008,0.009,02.07.2020,01.07.2035,,
Глава крестьянского (фермерско — Палтус белокорый (112) — 2024,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2024,Дальневосточный,Палтус белокорый (112),Промышленная,0.008,0.005,02.07.2020,01.07.2035,Биология/ОДУ,
Глава крестьянского (фермерско — Палтус белокорый (112) — 2025,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2025,Дальневосточный,Палтус белокорый (112),Промышленная,0.008,0.004,02.07.2020,01.07.2035,Регулятор/Инвестквоты,
Глава крестьянского (фермерско — Палтус белокорый (112) — 2026,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,Палтус белокорый (112),Промышленная,0.008,0.004,02.07.2020,01.07.2035,,
ИП Глава КФХ Розенко Денис Евг — Палтус черный — 2023,ИП Глава КФХ Розенко Денис Евгеньевич,490908436921,2023,Дальневосточный,Палтус черный,Промышленная,0.008,0.035,02.07.2020,01.07.2035,,
ГКФХ Розенко Денис Евгеньевич — Палтус черный — 2026,ГКФХ Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,Палтус черный,Промышленная,,0.008,nan,nan,,
ИП Глава КФХ Розенко Денис Евг — Палтус черный (113) — 2023,ИП Глава КФХ Розенко Денис Евгеньевич,490908436921,2023,Дальневосточный,Палтус черный (113),Промышленная,0.008,0.035,02.07.2020,01.07.2035,,
Глава крестьянского (фермерско — Палтус черный (113) — 2024,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2024,Дальневосточный,Палтус черный (113),Промышленная,0.008,0.007,02.07.2020,01.07.2035,Регулятор/Инвестквоты,
Глава крестьянского (фермерско — Палтус черный (113) — 2025,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2025,Дальневосточный,Палтус черный (113),Промышленная,0.008,0.007,02.07.2020,01.07.2035,,
Глава крестьянского (фермерско — Палтус черный (113) — 2026,Глава крестьянского (фермерского) хозяйства Индивидуальный предприниматель Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,Палтус черный (113),Промышленная,0.008,0.007,02.07.2020,01.07.2035,,
"ГКФХ Розенко Денис Евгеньевич — Палтусы (белокорый, черный) — 2026",ГКФХ Розенко Денис Евгеньевич,490908436921,2026,Дальневосточный,"Палтусы (белокорый, черный)",Промышленная,,0.008,nan,nan,,
"ООО ""Феникс-К"" — Краб — 2023","ООО ""Феникс-К""",4909107196,2023,Дальневосточный,Краб,Промышленная,0.956,1.037,20.10.2021,19.10.2036,,
"ООО ""ФЕНИКС-К"" — Краб — 2024","ООО ""ФЕНИКС-К""",4909107196,2024,Дальневосточный,Краб,Промышленная,0.956,0.806,20.10.2021,19.10.2036,Биология/ОДУ,
"ООО ""ФЕНИКС-К"" — Краб — 2025","ООО ""ФЕНИКС-К""",4909107196,2025,Дальневосточный,Краб,Промышленная,0.956,0.783,20.10.2021,19.10.2036,,
"ООО ""ФЕНИКС-К"" — Краб — 2026","ООО ""ФЕНИКС-К""",4909107196,2026,Дальневосточный,Краб,Промышленная,0.956,0.792,20.10.2021,19.10.2036,,
ООО «ФЕНИКС-К» — Краб — 2026,ООО «ФЕНИКС-К»,4909107196,2026,Дальневосточный,Краб,Промышленная,,0.956,nan,nan,,
"ЗАО ""Рыбозавод Магаданский"" — Камбалы дальневосточные — 2023","ЗАО ""Рыбозавод Магаданский""",4909110456,2023,Дальневосточный,Камбалы дальневосточные,Промышленная,1.117,67.956,14.10.2020,13.10.2035,,
ЗАО «РЫБОЗАВОД МАГАДАНСКИЙ» — Камбалы дальневосточные — 2026,ЗАО «РЫБОЗАВОД МАГАДАНСКИЙ»,4909110456,2026,Дальневосточный,Камбалы дальневосточные,Промышленная,,1.117,nan,nan,,
"ЗАО ""Рыбозавод Магаданский"" — Камбалы дальневосточные (451) — 2023","ЗАО ""Рыбозавод Магаданский""",4909110456,2023,Дальневосточный,Камбалы дальневосточные (451),Промышленная,1.117,67.956,14.10.2020,13.10.2035,,
"ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ"" — Камбалы дальневосточные (451) — 2024","ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ""",4909110456,2024,Дальневосточный,Камбалы дальневосточные (451),Промышленная,1.117,65.126,14.10.2020,13.10.2035,,
"ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ"" — Камбалы дальневосточные (451) — 2025","ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ""",4909110456,2025,Дальневосточный,Камбалы дальневосточные (451),Промышленная,1.117,69.453,14.10.2020,13.10.2035,,
"ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ"" — Камбалы дальневосточные (451) — 2026","ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ""",4909110456,2026,Дальневосточный,Камбалы дальневосточные (451),Промышленная,1.117,69.378,14.10.2020,13.10.2035,,
"ЗАО ""Рыбозавод Магаданский"" — Сельдь — 2023","ЗАО ""Рыбозавод Магаданский""",4909110456,2023,Дальневосточный,Сельдь,Промышленная,0.064,171.112,06.09.2018,05.09.2033,,
"ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ"" — Сельдь — 2024","ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ""",4909110456,2024,Дальневосточный,Сельдь,Промышленная,0.064,180.391,06.09.2018,05.09.2033,,
"ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ"" — Сельдь — 2025","ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ""",4909110456,2025,Дальневосточный,Сельдь,Промышленная,0.064,169.352,06.09.2018,05.09.2033,Регулятор/Инвестквоты,
"ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ"" — Сельдь — 2026","ЗАО ""РЫБОЗАВОД МАГАДАНСКИЙ""",4909110456,2026,Дальневосточный,Сельдь,Промышленная,0.064,204.732,06.09.2018,05.09.2033,,
ЗАО «РЫБОЗАВОД МАГАДАНСКИЙ» — Сельдь — 2026,ЗАО «РЫБОЗАВОД МАГАДАНСКИЙ»,4909110456,2026,Дальневосточный,Сельдь,Промышленная,,0.064,nan,nan,Регулятор/Инвестквоты,
"ООО ""Ольский рыбопромышленный  — Камбалы дальневосточные — 2023","ООО ""Ольский рыбопромышленный завод""",4909114690,2023,Дальневосточный,Камбалы дальневосточные,Промышленная,10.283,625.593,14.10.2020,13.10.2035,,
ООО «ОЛЬСКИЙ РПЗ» — Камбалы дальневосточные — 2026,ООО «ОЛЬСКИЙ РПЗ»,4909114690,2026,Дальневосточный,Камбалы дальневосточные,Промышленная,,10.283,nan,nan,,
"ООО ""Ольский рыбопромышленный  — Камбалы дальневосточные (451) — 2023","ООО ""Ольский рыбопромышленный завод""",4909114690,2023,Дальневосточный,Камбалы дальневосточные (451),Промышленная,10.283,625.593,14.10.2020,13.10.2035,,
"ООО ""ОЛЬСКИЙ РПЗ"" — Камбалы дальневосточные (451) — 2024","ООО ""ОЛЬСКИЙ РПЗ""",4909114690,2024,Дальневосточный,Камбалы дальневосточные (451),Промышленная,10.283,599.54,14.10.2020,13.10.2035,,
"ООО ""ОЛЬСКИЙ РПЗ"" — Камбалы дальневосточные (451) — 2025","ООО ""ОЛЬСКИЙ РПЗ""",4909114690,2025,Дальневосточный,Камбалы дальневосточные (451),Промышленная,10.283,639.379,14.10.2020,13.10.2035,,
"ООО ""Магадантралфлот"" — Минтай — 2023","ООО ""Магадантралфлот""",4909117170,2023,Дальневосточный,Минтай,Промышленная,0.473,474.031,27.08.2018,26.08.2033,,ГК Норебо
"ООО ""Магадантралфлот"" — Минтай — 2023","ООО ""Магадантралфлот""",4909117170,2023,Дальневосточный,Минтай,Промышленная,0.545,2582.713,27.08.2018,26.08.2033,,ГК Норебо
"ООО ""Магадантралфлот"" — Минтай — 2023","ООО ""Магадантралфлот""",4909117170,2023,Дальневосточный,Минтай,Промышленная,1.009,2954.46,27.08.2018,26.08.2033,,ГК Норебо
"ООО ""Магадантралфлот"" — Минтай — 2023","ООО ""Магадантралфлот""",4909117170,2023,Дальневосточный,Минтай,Промышленная,0.922,2064.164,27.08.2018,26.08.2033,,ГК Норебо
"ООО ""Магадантралфлот"" — Минтай — 2023","ООО ""Магадантралфлот""",4909117170,2023,Дальневосточный,Минтай,Промышленная,0.545,6.628,27.08.2018,26.08.2033,,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Минтай — 2023","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2023,Дальневосточный,Минтай,Промышленная,1.009,2954.46,27.08.2018,26.08.2033,,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Минтай — 2023","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2023,Дальневосточный,Минтай,Промышленная,0.545,6.628,27.08.2018,26.08.2033,,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Минтай — 2024","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2024,Дальневосточный,Минтай,Промышленная,0.473,551.724,27.08.2018,26.08.2033,Биология/ОДУ,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Минтай — 2024","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2024,Дальневосточный,Минтай,Промышленная,0.545,2956.54,27.08.2018,26.08.2033,Биология/ОДУ,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Минтай — 2025","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2025,Дальневосточный,Минтай,Промышленная,0.473,621.667,27.08.2018,26.08.2033,Регулятор/Инвестквоты,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Минтай — 2025","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2025,Дальневосточный,Минтай,Промышленная,0.545,3210.01,27.08.2018,26.08.2033,Регулятор/Инвестквоты,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Минтай — 2026","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2026,Дальневосточный,Минтай,Промышленная,0.473,648.949,27.08.2018,26.08.2033,Биология/ОДУ,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Минтай — 2026","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2026,Дальневосточный,Минтай,Промышленная,0.545,2423.641,27.08.2018,26.08.2033,Биология/ОДУ,ГК Норебо
ООО «МАГАДАНТРАЛФЛОТ» — Минтай — 2026,ООО «МАГАДАНТРАЛФЛОТ»,4909117170,2026,Дальневосточный,Минтай,Промышленная,,0.473,nan,nan,Биология/ОДУ,ГК Норебо
"ООО ""Магадантралфлот"" — Сельдь — 2023","ООО ""Магадантралфлот""",4909117170,2023,Дальневосточный,Сельдь,Промышленная,2.902,7758.872,31.08.2018,30.08.2033,,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Сельдь — 2024","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2024,Дальневосточный,Сельдь,Промышленная,2.902,8179.606,31.08.2018,30.08.2033,,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Сельдь — 2025","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2025,Дальневосточный,Сельдь,Промышленная,2.902,7678.997,31.08.2018,30.08.2033,Регулятор/Инвестквоты,ГК Норебо
"ООО ""МАГАДАНТРАЛФЛОТ"" — Сельдь — 2026","ООО ""МАГАДАНТРАЛФЛОТ""",4909117170,2026,Дальневосточный,Сельдь,Промышленная,2.902,9283.305,31.08.2018,30.08.2033,,ГК Норебо
ООО «МАГАДАНТРАЛФЛОТ» — Сельдь — 2026,ООО «МАГАДАНТРАЛФЛОТ»,4909117170,2026,Дальневосточный,Сельдь,Промышленная,,2.902,nan,nan,Регулятор/Инвестквоты,ГК Норебо
"ООО ""СЕВРЫБФЛОТ"" — Трубачи — 2023","ООО ""СЕВРЫБФЛОТ""",4909120133,2023,Дальневосточный,Трубачи,Промышленная,7.507,14.939,30.08.2018,29.08.2033,,
"ООО ""СЕВРЫБФЛОТ"" — Трубачи (927) — 2024","ООО ""СЕВРЫБФЛОТ""",4909120133,2024,Дальневосточный,Трубачи (927),Промышленная,7.507,17.942,30.08.2018,29.08.2033,,
"ООО ""Симар-2"" — Минтай — 2023","ООО ""Симар-2""",4909120214,2023,Дальневосточный,Минтай,Промышленная,0.201,449.997,30.08.2018,29.08.2033,,
"ООО ""СИМАР-2"" — Минтай — 2024","ООО ""СИМАР-2""",4909120214,2024,Дальневосточный,Минтай,Промышленная,0.201,418.015,30.08.2018,29.08.2033,Биология/ОДУ,
"ООО ""СИМАР-2"" — Минтай — 2025","ООО ""СИМАР-2""",4909120214,2025,Дальневосточный,Минтай,Промышленная,0.201,433.42,30.08.2018,29.08.2033,,
"ООО ""СИМАР-2"" — Минтай — 2026","ООО ""СИМАР-2""",4909120214,2026,Дальневосточный,Минтай,Промышленная,0.201,439.63,30.08.2018,29.08.2033,,
ООО «СИМАР-2» — Минтай — 2026,ООО «СИМАР-2»,4909120214,2026,Дальневосточный,Минтай,Промышленная,,0.201,nan,nan,Биология/ОДУ,
"ООО ""Магаданрыба 2"" — Креветка — 2023","ООО ""Магаданрыба 2""",4909122123,2023,Дальневосточный,Креветка,Промышленная,1.254,2.069,13.04.2022,12.04.2037,,
"ООО ""Магаданрыба 2"" — Креветка — 2023","ООО ""Магаданрыба 2""",4909122123,2023,Дальневосточный,Креветка,Промышленная,13.092,225.968,06.09.2018,05.09.2033,,
"ООО ""Магаданрыба 2"" — Креветка — 2023","ООО ""Магаданрыба 2""",4909122123,2023,Дальневосточный,Креветка,Промышленная,13.092,225.968,06.09.2018,05.09.2033,,
"ООО ""МАГАДАНРЫБА 2"" — Креветка — 2024","ООО ""МАГАДАНРЫБА 2""",4909122123,2024,Дальневосточный,Креветка,Промышленная,1.254,2.521,13.04.2022,12.04.2037,Биология/ОДУ,
"ООО ""МАГАДАНРЫБА 2"" — Креветка — 2024","ООО ""МАГАДАНРЫБА 2""",4909122123,2024,Дальневосточный,Креветка,Промышленная,13.092,224.79,06.09.2018,05.09.2033,Биология/ОДУ,
"ООО ""МАГАДАНРЫБА 2"" — Креветка — 2025","ООО ""МАГАДАНРЫБА 2""",4909122123,2025,Дальневосточный,Креветка,Промышленная,1.254,2.985,13.04.2022,12.04.2037,Биология/ОДУ,
