Запись,Компания,Компания_ИНН,Год,Бассейн,Объект_лова,Тип_квоты,Доля_процент,Объем_тонн,Дата_начала_договора,Дата_окончания_договора,Причина_изменения,Группа_компаний
АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» И — Треска — 2026,АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» ИЛИ АО«КМП»,1011005348,2026,Северный,Треска,Промышленная,,1.753,nan,nan,,ГК Норебо
РЫБОЛОВЕЦКИЙ КОЛХОЗ «ЗАРЯ СЕВЕ — Пикша — 2026,РЫБОЛОВЕЦКИЙ КОЛХОЗ «ЗАРЯ СЕВЕРА»,1011007024,2026,Северный,Пикша,Промышленная,,0.143,nan,nan,,
РЫБОЛОВЕЦКИЙ КОЛХОЗ «ЗАРЯ СЕВЕ — Треска — 2026,РЫБОЛОВЕЦКИЙ КОЛХОЗ «ЗАРЯ СЕВЕРА»,1011007024,2026,Северный,Треска,Промышленная,,0.125,nan,nan,,
КОЛХОЗ «БЕЛОМОР» — Пикша — 2026,КОЛХОЗ «БЕЛОМОР»,1011007070,2026,Северный,Пикша,Промышленная,,0.32,nan,nan,,
КОЛХОЗ «БЕЛОМОР» — Треска — 2026,КОЛХОЗ «БЕЛОМОР»,1011007070,2026,Северный,Треска,Промышленная,,0.334,nan,nan,,
"ООО ""РК ""ВИРМА"" — Пикша — 2025","ООО ""РК ""ВИРМА""",1011008571,2025,Норвежский,Пикша,Инвестиционная,2.424,254.268,24.05.2018,23.05.2033,,
"ООО ""РК ""ВИРМА"" — Пикша — 2026","ООО ""РК ""ВИРМА""",1011008571,2026,Норвежский,Пикша,Инвестиционная,2.424,306.927,24.05.2018,23.05.2033,,
"ООО ""РК ""ВИРМА"" — Треска — 2025","ООО ""РК ""ВИРМА""",1011008571,2025,Норвежский,Треска,Инвестиционная,2.424,699.183,24.05.2018,23.05.2033,,
"ООО ""РК ""ВИРМА"" — Треска — 2026","ООО ""РК ""ВИРМА""",1011008571,2026,Норвежский,Треска,Инвестиционная,2.424,584.494,24.05.2018,23.05.2033,Биология/ОДУ,
"ООО ""РК ""ВИРМА"" — Креветка — 2024","ООО ""РК ""ВИРМА""",1011008571,2024,Северный,Креветка,Международная,6.828,1217.091,08.07.2022,07.07.2037,,
ООО «РК «ВИРМА» — Креветка — 2026,ООО «РК «ВИРМА»,1011008571,2026,Северный,Креветка,Промышленная,,6.828,nan,nan,,
ООО «РК «ВИРМА» — Пикша — 2026,ООО «РК «ВИРМА»,1011008571,2026,Северный,Пикша,Промышленная,,0.183,nan,nan,,
ООО «РК «ВИРМА» — Треска — 2026,ООО «РК «ВИРМА»,1011008571,2026,Северный,Треска,Промышленная,,0.259,nan,nan,,
ООО «ПКФ «БУССОЛЬ» — Пикша — 2026,ООО «ПКФ «БУССОЛЬ»,1011008814,2026,Северный,Пикша,Промышленная,,0.298,nan,nan,,
ООО «ПКФ «БУССОЛЬ» — Треска — 2026,ООО «ПКФ «БУССОЛЬ»,1011008814,2026,Северный,Треска,Промышленная,,0.318,nan,nan,,
АО «АЛЬТЕРНАТИВА» — Пикша — 2026,АО «АЛЬТЕРНАТИВА»,1018005330,2026,Северный,Пикша,Промышленная,,3.942,nan,nan,,
АО «АЛЬТЕРНАТИВА» — Треска — 2026,АО «АЛЬТЕРНАТИВА»,1018005330,2026,Северный,Треска,Промышленная,,4.326,nan,nan,,
"АО ""Дальрыба"" — Краб — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Краб,Промышленная,2.339,158.011,07.09.2018,06.09.2033,,
"АО ""Дальрыба"" — Краб — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Краб,Промышленная,0.194,2.361,29.08.2018,28.08.2033,,
"АО ""Дальрыба"" — Краб — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Краб,Промышленная,5.754,172.043,31.08.2018,30.08.2033,,
"АО ""Дальрыба"" — Краб — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Краб,Промышленная,5.927,496.783,31.08.2018,30.08.2033,,
"АО ""Дальрыба"" — Креветка — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Креветка,Промышленная,0.898,6.088,31.08.2018,30.08.2033,,
"АО ""Дальрыба"" — Креветка — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Креветка,Промышленная,0.898,6.088,31.08.2018,30.08.2033,,
"АО ""ДАЛЬРЫБА"" — Креветка — 2024","АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Креветка,Промышленная,0.898,6.053,31.08.2018,30.08.2033,Биология/ОДУ,
"АО ""ДАЛЬРЫБА"" — Креветка — 2025","АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Креветка,Промышленная,0.898,7.328,31.08.2018,30.08.2033,,
"АО ""ДАЛЬРЫБА"" — Креветка — 2026","АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Креветка,Промышленная,0.898,7.355,31.08.2018,30.08.2033,,
АО «ДАЛЬРЫБА» — Креветка — 2026,АО «ДАЛЬРЫБА»,2500000073,2026,Дальневосточный,Креветка,Промышленная,,0.898,nan,nan,Регулятор/Инвестквоты,
"АО ""Дальрыба"" — Минтай — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,1.232,5838.354,05.09.2018,04.09.2033,,
"АО ""Дальрыба"" — Минтай — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,0.753,2204.864,31.08.2018,30.08.2033,,
"АО ""Дальрыба"" — Минтай — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,0.9,2014.911,05.09.2018,04.09.2033,,
"АО ""Дальрыба"" — Минтай — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,1.522,900.332,05.09.2018,04.09.2033,,
"АО ""Дальрыба"" — Минтай — 2023","АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,1.232,14.984,05.09.2018,04.09.2033,,
