ИНН,Юр_Лицо,Группа_Компаний,Исключить,Комментарий,Директор_ListOrg
2543164220,"ООО ""ДВКК""",,,,
2543168190,"ООО ""триера м""",ГК Гидрострой,,,
2543174042,"ООО ""Антей""",,,,
2543177727,"ООО ""ТРЕСКА ПРИМОРЬЯ""",ГК Гидрострой,,,
2543177815,"ООО ""ШРИМС""",ГК Гидрострой,,,
2543178907,"ООО ""КАМБАЛЫ СЕВЕРА""",,,,
2543180399,"Организация ООО ""КРЕВЕТКА ДВ""",,,,ИСПОЛНИТЕЛЬНЫЙ ДИРЕКТОР Черных Степан Степанович
2543182371,"ООО ""МИНТАЙ ПРОМ""",,,,
2543184876,"ООО ""ОСК""",,,,"( Макаров Сергей Владимирович - учредитель; - генеральный директор, учредитель до 03.06.2022 * ) ООО ""ТУМЖДИН"" ( Макаров Сергей Владимирович - директор, учредитель; находится по одному адресу с ООО ""ОСК"" ) ООО ""ПОЛНОВОДНОЕ"" ( Макаров Сергей Владимирович - директор, учредитель; находится по одному адресу с ООО ""ОСК"" ) ( Ищенко Александр Иванович - генеральный директор, учредитель) ООО ""КОДФИШ"" ( Макаров Сергей Владимирович - генеральный директор, учредитель) ООО ""КОППИНСКИЙ"" ( Макаров Сергей Владимирович - генеральный директор, учредитель) ( Макаров Сергей Владимирович - генеральный директор; Макарова Наталья Владимировна - учредитель; находится по одному адресу с ООО ""ОСК"" ) ООО ""СИЗИМАН"" ( Макаров Сергей Владимирович - генеральный директор, учредитель) ООО ""ВОСТОЧНАЯ ПРОМЫШЛЕННАЯ КОМПАНИЯ"", ООО ""ВПК"" ( Макарова Наталья Владимировна - генеральный директор, учредитель) ( Макарова Наталья Владимировна - генеральный директор, учредитель) ООО ""БОСАНТУР-2"" (правопредшественник ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ; - учредитель до 12.08.2019 * ; - учредитель до 26.09.2019 * ) ООО ""СВЕТЛЫЕ БЕРЕГА"" ( Макаров Сергей Владимирович - учредитель; - учредитель до 22.03.2022 * ) ( Макаров Сергей Владимирович - учредитель; - учредитель до 03.06.2022 * ) ТСО КМНС ""ЗАУР"" ( Макарова Наталья Владимировна - председатель правления; находилось по одному адресу с ООО ""ОСК"" ) ООО ""ДВТЕХНОРЕСУРС"" ( Макаров Сергей Владимирович - учредитель) ( - учредитель до 20.07.2018 * ) ООО ""СИГНАЛ-АВТО"" ( - учредитель до 01.08.2023 * ) ООО ""ССК"" (ликвидир. 24.11.2025) ( Макаров Сергей Владимирович - учредитель) ООО ""АМУРЧОНОК ПЛЮС"" (ликвидир. 01.12.2017) ( Макаров Сергей Владимирович - учредитель) показать ещё 7 организаций, в которых Макаров Сергей Владимирович - учредитель ( Макарова Наталья Владимировна - учредитель) ООО ""СТРОЙ-ИНЖЕНЕРИНГ"" ( Макарова Наталья Владимировна - учредитель) ООО ""ЧУКОТРЫБА"" ( - генеральный директор, учредитель) ( - управляющий директор, учредитель) ТСО КМНС ""ХАЛБЫ"" ( - учредитель до 15.12.2021 * , председатель правления до 20.05.2025 * ; находилось по одному адресу с ООО ""ОСК"" ) ООО ""АКВАПРОМ ИНВЕСТ"" ( - учредитель до 11.10.2024 * ; - учредитель) (учредитель ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" до 23.12.2022 * ) СЕМЕЙНАЯ (РОДОВАЯ) ОБЩИНА МАЛОЧИСЛЕННЫХ НАРОДОВ ""КУРУН"" ( - председатель общины до 26.02.2025 * ; находилось по одному адресу с ООО ""ОСК"" ) ООО ""НЕВОД"" ( - учредитель) ООО ""СТАЛ"" ( - учредитель) ( Макаров Сергей Владимирович - генеральный директор) ( Макарова Наталья Владимировна - учредитель) ООО ""ВЕЛЕС-СНЕК"" ( - директор до 03.11.2020 * ) ООО ""ФЕНИКС ФИНАНС"" ( - генеральный директор до 02.10.2020 * ) ( - генеральный директор до 21.04.2022 * ) ООО ""СВЕТЛОЕ МОРЕ"" (ликвидир. 15.07.2024) ( - учредитель до 13.12.2023 * ; - генеральный директор) ( - учредитель) АО ""ПРИМОРСКИЙ МИНТАЙ"" (ликвидир. 20.10.2020) ( - генеральный директор до 06.12.2018 * )"
2700016296,"ООО ""МОРЕС-ДВ""",,,,"( Перстнев Александр Иванович - генеральный директор, учредитель; ООО ""ОКЕАН ДВ"" - учредитель; находится по одному адресу с ООО ""МОРЕС-ДВ"" ) ООО ""КАЙРОС 1"" ( Перстнев Александр Иванович - генеральный директор, учредитель; находится по одному адресу с ООО ""МОРЕС-ДВ"" ) ООО ""АЛЬБАТРОС КО."" ( - генеральный директор, учредитель до 29.09.2023 * ) (директор ООО ""ВПК"" , учредитель ООО ""ВПК"" ) ООО ""РОСЬ"" ( Перстнев Александр Иванович - генеральный директор) ХКНОКА ""АДВАКОМ"" ( - председатель, учредитель до 15.12.2021 * ) ( - учредитель) (учредитель ООО ""ВПК"" до 12.09.2024 * ) ООО ""БИБКИН"" (ликвидир. 07.10.2015) ( Перстнев Александр Иванович - учредитель) ( ООО ""ВПК"" - правопредшественник, правопреемник) ООО ""ПРОЛИВ"" (ликвидир. 30.12.2019) ( ООО ""ВПК"" - правопредшественник) ООО ""ЛОТОС"" (ликвидир. 08.09.2025) ( ООО ""ВПК"" - правопреемник) ( ООО ""ВПК"" - правопреемник) ООО ""ЗПК"" (ликвидир. 19.02.2015) ( ООО ""ВПК"" - правопредшественник) ООО ""АЗИМУТ"" (ликвидир. 12.12.2016) ( ООО ""ВПК"" - правопредшественник) ( ООО ""ВПК"" - правопредшественник) ООО ""ПРОЛИВРЕСУРС"" (ликвидир. 22.02.2018) ( ООО ""ВПК"" - правопредшественник) ООО ""ПРОТЕЙ"" (ликвидир. 22.02.2018) ( ООО ""ВПК"" - правопредшественник) ( ООО ""ВПК"" - правопредшественник) ООО ""ЮНИЧЕК"" (ликвидир. 20.04.2010) ( ООО ""ВПК"" - правопреемник) ООО ""СВПК"" (ликвидир. 28.06.2013) ( ООО ""ВПК"" - правопреемник) ( ООО ""ВПК"" - правопреемник) ООО ""ВПК-2"" (ликвидир. 08.04.2025) ( ООО ""ВПК"" - правопреемник) ООО ""ФИШКА"" (ликвидир. 09.07.2025) ( ООО ""ВПК"" - правопреемник) (находится по старому адресу ООО ""МОРЕС-ДВ"" ) ООО ""ЛАНСА"" (ликвидир. 08.12.2023) ( - учредитель до 22.04.2019 * )"
2700016955,"ООО ""ПРИБРЕЖНОЕ 3""",,,,"( ООО ""НЕВОД"" - учредитель; Мячин Олег Владимирович - генеральный директор, учредитель; находится по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) ООО ""ФЕНИКС ФИНАНС"" ( Мячин Олег Владимирович - генеральный директор, учредитель; находится по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) ООО ""СКРАП"" ( Мячин Олег Владимирович - генеральный директор, учредитель; находится по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) ( Мячин Олег Владимирович - директор, учредитель; находится по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) ООО ""РЕФСЕРВИС"" ( Мячин Олег Владимирович - генеральный директор, учредитель) ООО ""ВЕЛЕС-СНЕК"" ( Мячин Олег Владимирович - директор; Мячина Алина Анатольевна - учредитель) (правопреемник ООО ""НЕВОД"" ; - учредитель до 03.12.2021 * , генеральный директор до 28.02.2022 * ) ООО ""КРЕВЕТКА ДВ"" ( - генеральный директор, учредитель до 29.12.2025 * ; находится по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) ООО ""ВИТ КО ЛТД"" ( - учредитель, директор до 31.03.2025 * ) ( - учредитель, генеральный директор до 19.03.2024 * ) Шевцова Елена Александровна (директор ООО ""РУТ 2009"" ) ООО ""РПК ""ПАСИФИК"" ( Мячин Олег Владимирович - исполнительный директор) ( Мячин Олег Владимирович - исполнительный директор) Кравцов Алексей Александрович (учредитель ООО ""НЕВОД"" ) ООО ""ЗЮЙД-ВЕСТ"" (правопредшественник ООО ""НЕВОД"" ) (правопредшественник ООО ""КАМБАЛЫ СЕВЕРА"" ) ООО ""ВОСЕМЬ"" (правопреемник ООО ""НЕВОД"" ) (учредитель ООО ""РУТ 2009"" до 13.06.2019 * , директор ООО ""РУТ 2009"" до 08.07.2019 * ) (учредитель ООО ""КАМБАЛЫ СЕВЕРА"" до 12.12.2023 * , генеральный директор ООО ""КАМБАЛЫ СЕВЕРА"" до 21.12.2023 * ) ООО ""КОДФИШ"" ( - учредитель до 23.12.2022 * , генеральный директор до 17.03.2023 * ) АО ""ДВРК"" ( - учредитель до 04.01.2022 * , генеральный директор до 02.08.2022 * ) ( - директор, учредитель) ООО ""ФИШ-ТРЕЙДИНГ ( - генеральный директор, учредитель) ООО ""ФОРК"" (ликвидир. 20.04.2017) ( ООО ""НЕВОД"" - правопреемник; Мячин Олег Владимирович - генеральный директор, учредитель) ( ООО ""НЕВОД"" - правопреемник; Мячин Олег Владимирович - генеральный директор, учредитель) ООО ""ТРЕСКА ПРИМОРЬЯ"" (ликвидир. 19.06.2025) ( ООО ""НЕВОД"" - учредитель; Мячин Олег Владимирович - директор; находилось по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) ООО ""ТРИЕРА М"" (ликвидир. 11.08.2025) ( Мячин Олег Владимирович - генеральный директор, учредитель; находилось по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) (генеральный директор ООО ""НЕВОД"" до 28.09.2020 * ) (директор ООО ""РУТ 2009"" до 09.06.2025 * ) ООО ""РЫБОЛОВЕЦКАЯ АРТЕЛЬ (КОЛХОЗ) ""НИЖНЕЕ ПРОНГЕ"" ( - генеральный директор до 08.04.2019 * ) ( - генеральный директор до 15.05.2023 * ) АО ""УТРФ-ПАЛТУС"" ( - генеральный директор до 21.01.2022 * ) ООО ""САХАЛИНСКИЙ ЗАЛИВ"" ( - исполнительный директор до 17.11.2022 * ) ( - генеральный директор до 21.01.2022 * ) ООО ""ТРЕСКА ПЛЮС"" (ликвидир. 19.06.2025) ( ООО ""НЕВОД"" - учредитель; Мячин Олег Владимирович - генеральный директор) (учредитель ООО ""РУТ 2009"" до 14.04.2023 * ) ( Мячин Олег Владимирович - генеральный директор, учредитель) ООО ""ФОРЕВЕР-1"" (ликвидир. 19.06.2025) ( Мячин Олег Владимирович - генеральный директор, учредитель) ООО ""ФОРМУЛА"" (ликвидир. 19.06.2025) ( Мячин Олег Владимирович - директор, учредитель) ( Мячин Олег Владимирович - генеральный директор, учредитель) РЫБОДОБЫВАЮЩАЯ КОМПАНИЯ ПРИБРЕЖЬЕ ООО (ликвидир. 17.08.2004) ( Мячин Олег Владимирович - директор, учредитель) ООО ""ШТУРМАН"" ( - учредитель до 31.07.2018 * ) ( - учредитель до 24.02.2021 * ) ООО ""БОСАНТУР-2"" ( - учредитель до 26.09.2019 * ) ООО ""ТОТ"" ( - учредитель до 12.02.2021 * ) ( - учредитель до 20.07.2018 * ) показать ещё 13 организаций, в которых Мячин Олег Владимирович - учредитель ООО ""ЦИПР"" ( - учредитель) ( - учредитель до 04.01.2022 * ) ООО ""ДВИЖЕНИЕ"" (ликвидир. 20.04.2017) ( ООО ""НЕВОД"" - правопреемник; Мячин Олег Владимирович - генеральный директор) ООО ""КН"" (ликвидир. 30.05.2013) ( ООО ""НЕВОД"" - учредитель, правопреемник) ( ООО ""НЕВОД"" - правопредшественник; - учредитель до 09.02.2024 * , генеральный директор до 25.04.2024 * ; находилось по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) ООО ""СОЮЗ"" (ликвидир. 27.06.2025) ( ООО ""НЕВОД"" - учредитель; - генеральный директор до 08.07.2024 * ; находилось по одному адресу с ООО ""ПРИБРЕЖНОЕ 3"" ) ООО ""КРК"" (ликвидир. 21.04.2020) ( - учредитель, директор до 06.09.2019 * ) ( ООО ""НЕВОД"" - правопредшественник; - учредитель до 22.09.2023 * ) ООО ""СОЮЗ"" (ликвидир. 24.07.2020) ( - учредитель до 20.07.2018 * , генеральный директор до 03.08.2018 * ) ( - учредитель до 03.02.2023 * , генеральный директор до 15.06.2023 * ) ООО ""ЮНИЯ"" (ликвидир. 22.08.2024) ( - учредитель до 12.12.2023 * , директор до 15.12.2023 * ) АРП ХАБАРОВСКОГО КРАЯ ( - президент до 18.03.2020 * ) ( - учредитель до 30.01.2020 * , директор до 27.02.2020 * ) ООО ""АРК"" ( - учредитель до 24.05.2024 * ) ООО ""ПРИБРЕЖНОЕ 2"" (ликвидир. 25.10.2023) ( - директор; находилось по старому адресу ООО ""ПРИБРЕЖНОЕ 3"" ) ( - учредитель до 03.01.2022 * ) (находится по старому адресу ООО ""ПРИБРЕЖНОЕ 3"" ) ООО ""ОДЖАН"" (ликвидир. 06.03.2023) (находилось по старому адресу ООО ""ПРИБРЕЖНОЕ 3"" )"
2700045152,"ООО ""МОРСКОЙ ПРОСТОР""",Сигма-Марин,,,
2700045160,"ООО ""ГОРИЗОНТ""",ГК Гидрострой,,,
2703000423,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",ГК РРПК,,,
2703091196,"ООО ""Комсомольскрыбпром""",,,,
2703098307,"ООО ""Амур-Тинар""",,,,
2703104350,"ООО ""Омега плюс""",,,,
2704007990,"ООО ""Антей""",,,,
2704012831,"ООО ""Путина-ДВ""",,,,
2704014652,"ООО ""Поллукс""",,,,
2708000273,"СПК РК ""Восход""",,,,
2709001128,Рыболовецкая артель (колхоз) имени 50 лет Октября,,,,
2712005764,"ООО ""Тихоокеанская рыбопромысловая компания""",,,,
2713021247,"ООО ""Атлант плюс""",,,,
2715000475,"ООО ""РК ИМ. ВОСТРЕЦОВА""",,,,
2715000919,Рыбколхоз им. Ленина,,,,
2715002088,"Рыболовецкая артель ""ИНЯ""",,,,
271500243028,ИП Кононихин Никита Юрьевич,,,,
2715005610,"ООО ""Тугуро-Чумикан""",,,,
2715005770,"ООО РК ""НОВЫЙ ПУТЬ""",,,,
2715005843,"ООО ""НОРТ-ИСТ""",,,,
2719004880,"Организация ООО ""УХТА-ПРОМ""",,,,"Управляющая Компания Акционерное Общество ""Дальневосточная Рыбопромышленная Управляющая Компания"""
2720023051,"Организация ООО ""ТРАНЗИТ-ДВ""",,,,ДИРЕКТОР Кузнецова Светлана Семеновна
2720046210,"ООО ""АКВАРИУС""",,,,"( Сафонова Валентина Васильевна - учредитель) ООО ""НОРД СТРЕЙТ"" (ликвидир. 24.06.2024) (находилось по одному адресу с ООО ""АКВАРИУС"" )"
2721023255,"ООО ""ВОСТОКРЫБПРОМ""",ГК РРПК,,,
2721058970,"ООО ""АМУРРЫБПРОМ""",,,,"( Милованов Алексей Владимирович - исполнительный директор, учредитель; Гутников Александр Сергеевич - технический директор, учредитель; Ро Александр Мунсекович - учредитель) ООО ""РАКУШКА"" ( Милованов Алексей Владимирович - генеральный директор; Ро Александр Мунсекович - учредитель) ООО ""МОРИСТ"" ( Милованов Алексей Владимирович - генеральный директор; Ро Александр Мунсекович - учредитель) ( Милованов Алексей Владимирович - генеральный директор; - генеральный директор до 27.11.2018 * ) ООО ""ТЕМП-А"" ( - учредитель, генеральный директор до 16.04.2019 * ) АО ""ВОСТОК-ДЖАПАН"" ( Милованов Алексей Владимирович - генеральный директор) ( Милованов Алексей Владимирович - исполнительный директор) ООО ""СК ""ПОЛАР"" ( Гутников Александр Сергеевич - учредитель) ООО ""ТЕМП-2"" ( Ро Александр Мунсекович - учредитель) ( Ро Александр Мунсекович - учредитель) ООО ""КИМПЕР ПЛЮС"" ( Ро Александр Мунсекович - учредитель) ООО ""ПРП-МОРЕПРОДУКТ"" (ликвидир. 15.03.2016) ( Гутников Александр Сергеевич - генеральный директор) ( Милованов Алексей Владимирович - учредитель) ООО ""БОСКО"" (ликвидир. 28.08.2013) ( Милованов Алексей Владимирович - учредитель) ООО ""ГРОСС-ОЙЛ"" (ликвидир. 25.07.2012) ( Гутников Александр Сергеевич - учредитель) ( - учредитель до 03.01.2022 * )"
272114715197,ИП Баляев Сергей Николаевич,,,,
2721159312,"ООО ""ВПК""",,,,"( Фукалова Дарья Владимировна - ликвидатор, учредитель; - учредитель) Перстнев Александр Иванович (генеральный директор ООО ""МОРЕС-ДВ"" , учредитель ООО ""МОРЕС-ДВ"" ) ООО ""ФИШ-ТРЕЙДИНГ ( - генеральный директор до 16.10.2025 * , учредитель до 16.10.2025 * ; находится по одному адресу с ООО ""ВПК"" ) ( - директор до 28.06.2023 * , учредитель до 24.02.2025 * ) ООО ""ОКЕАН ДВ"" (учредитель ООО ""МОРЕС-ДВ"" ) ТСЖ ""ЭДЕМ"" ( - председатель правления тсж до 24.07.2025 * ) ( - исполнительный директор до 25.01.2023 * ) ООО ""ВПК-ПРИМ"" (ликвидир. 18.06.2024) ( Фукалова Дарья Владимировна - ликвидатор, учредитель) ООО ""ИНВЕСТ-СТРОЙ КОНСАЛТИНГ"" ( - учредитель до 22.10.2021 * ) ( - учредитель до 24.05.2024 * ) ООО ""ПРИБРЕЖНОЕ 1"" ( - учредитель до 27.10.2023 * ) ООО ""САХМОРТРЕСТ"" ( - учредитель до 28.02.2023 * ) ( - учредитель до 05.12.2022 * ) МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД СВЯТОГО РАВНОАПОСТОЛЬНОГО ВЕЛИКОГО КНЯЗЯ ВЛАДИМИРА ГОРОДА ХАБАРОВСКА ХАБАРОВСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ) ( - учредитель до 15.12.2021 * ) ХКНОКА ""АДВАКОМ"" ( - председатель, учредитель до 15.12.2021 * ) (генеральный директор ООО ""МОРЕС-ДВ"" до 05.07.2024 * ) ООО ""ВОСТОК-ПЕРСОНАЛ ПЛЮС"" (ликвидир. 15.11.2023) ( Фукалова Дарья Владимировна - учредитель) ООО НПФ ""КОНТИНЕНТ"" (ликвидир. 16.03.2023) ( Фукалова Дарья Владимировна - учредитель) ( - учредитель до 30.06.2023 * ) филиал ООО ""СТРОЙСЕРВИС"" (ФИЛИАЛ ООО ""СТРОЙСЕРВИС"") (находилось по одному адресу с ООО ""ВПК"" ) ООО ""ПЕРВАЯ СТУДИЯ"" (находилось по одному адресу с ООО ""ВПК"" )"
2721176928,"Организация ООО ""Скалопс""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Петухова Маргарита Андреевна
2721212301,"Организация ООО ""НОВОФИШ""",,,,ДИРЕКТОР Тарев Александр Александрович
2721227428,"Организация ООО ""АМУРСКОЕ""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Вилисов Максим Викторович
2721247745,"Организация ООО ""ЯНТАРНОЕ""",,,,ДИРЕКТОР Семенов Евгений Георгиевич
2721247752,"Организация ООО ""ХАБРЫБА""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Семенов Евгений Георгиевич
2721252625,"Организация ООО ""ЯНТАРЬ""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Семенов Евгений Георгиевич
2721255753,"Организация ООО ""СИРИУС""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Семенов Евгений Георгиевич
2722090350,"АО ""Дальневосточное морепромышленное объединение""",ГК РРПК,,"ДМП-РМ; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин",АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ
2722136815,"Организация ООО ""ОДЖАН""",,,,ДИРЕКТОР Фукалова Дарья Владимировна
2723030402,"Организация ООО ""ВОСТОКИНВЕСТ""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Баркова Жанна Николаевна
2723050060,"Организация ООО ""СИГМА МАРИН ТЕХНОЛОДЖИ""",,,,ДИРЕКТОР Базикалов Игорь Викторович
2723108634,"Организация ООО ""ОРИОН""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Семенов Евгений Георгиевич
2723194055,"Организация ООО ""МЕРЛИОН""",,,,"Управляющая Компания Акционерное Общество ""Дальневосточная Рыбопромышленная Управляющая Компания"""
2724172030,"Организация ООО ""Восток-Персонал Плюс""",,,,ДИРЕКТОР Андреева Владлена Анатольевна
272510590449,ИП Василевский Дмитрий Владимирович,,,,
2901069731,"ООО ""ЯГРЫ""",,,,АНТИПИН АЛЕКСАНДР ПАВЛОВИЧ
2901099020,"Организация ООО ""РК ""БРИЗ""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Пестов Константин Германович
2901127743,"Организация ООО ""ОМЕГА-ТРЕЙД""",,,,ДИРЕКТОР Зарубин Сергей Викторович
2901128602,"Организация АО ""АТФ""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Зарубин Сергей Викторович
2901138167,"Организация АО ""АОВК""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Соколов Максим Сергеевич
2901235304,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",Группа Согласие,,,
2901251074,"ООО ""ПОМОР СИФУД""",,,,АНТИПИН АЛЕКСАНДР ПАВЛОВИЧ
2901284295,"Организация ООО ""КАРАПАКС""",,,,ДИРЕКТОР Буслович Андрей Игнатьевич
2901287730,"ООО ""ГЛОБУС""",,,,ЗАИКА АНДРЕЙ АНАТОЛЬЕВИЧ
2901299485,"ООО ""ПЕЛАГИКА""",,,,ПЕТЛЕНКО ТАРАС ВЛАДИМИРОВИЧ
2901309542,"ООО ""МАРИНУС""",,,,АНТИПИН ЛЕОНИД АЛЕКСАНДРОВИЧ
2901312552,"Организация ООО ""ПУШЛАХТА""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Заика Андрей Анатольевич
2902063524,"ООО ""РК ПУТИНА""",,,,ЧУРАКОВ ДМИТРИЙ АЛЕКСАНДРОВИЧ
2904011867,"ООО ""КОТЛАСРЫБПРОМ""",,,,ВОСКАНЯН СЕРГЕЙ САМВЕЛОВИЧ
2917000164,"СПК  ""РК   ""СЕВЕР""",,,,СЕЛИВЕРСТОВА МАРИНА НИКОЛАЕВНА
2917000206,"СПК  РК  ""ОСВОБОЖДЕНИЕ""  АРКС",,,,ТУЧИН СЕРГЕЙ ВИКТОРОВИЧ
2917001834,"ООО ""Согра""",ГК Норебо,,,СТАРКОВ ДЕНИС АЛЕКСЕЕВИЧ
2917002250,"Организация ООО ""СЕВНАУЧФЛОТ""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Заика Андрей Анатольевич
2917126142,"ООО ""МЕГРА""",,,,БОРИСОВ АЛЕКСАНДР ВИКТОРОВИЧ
2921001587,Организация МОСКОВСКИЙ ФЛ РК ИМ. М. И. КАЛИНИНА,,,,Председатель Заика Андрей Анатольевич
2921001636,"СПК ""РК ""БЕЛОМОР""",,,,САМОЙЛОВ СЕРГЕЙ НИКОЛАЕВИЧ
2921128544,"ООО ""УНА""",,,,АНТИПИН АЛЕКСАНДР ПАВЛОВИЧ
2921128720,"АО ""АТЛАС""",,,,ЗАИКА АНДРЕЙ АНАТОЛЬЕВИЧ
2983002679,"Организация ООО ""БАГАЖ""",,,,ДИРЕКТОР Каменный Вячеслав Дмитриевич
3,2,,,,
3000000951,"Организация ООО ""МИВ-1""",,,,ДИРЕКТОР Миляев Василий Владимирович
3000007330,"Организация ООО ""РЫБТЕМА""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Гадиров Рагим Нарча Оглы
3000008076,"Организация ООО ""ШТОРМ+""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Шульга Сергей Николаевич
3000008245,"Организация ООО ""АМП""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Харманов Хабиболла Мадениетович
3000010251,"Организация ООО ""РОДИНА""",,,,ДИРЕКТОР Муханалиев Радмир Рахимович
3000012178,"Организация ООО ""КАСПИЙСКИЙ РЫБАК""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Харманов Хабиболла Мадениетович
3000013894,"Организация ООО ""МИВ-1""",,,,ДИРЕКТОР Миляев Василий Владимирович
3000013904,"Организация ООО ""РЫБАК""",,,,ДИРЕКТОР Раджабов Шарамазан Хизриевич
3000013911,"Организация ООО ""ТАЙФУН""",,,,ДИРЕКТОР Шульга Сергей Николаевич
3000020235,"Организация ООО ""МИВ-1""",,,,ДИРЕКТОР Иванов Кирилл Сергеевич
3002000523,Организация Р/К ИМЕНИ ХХ ПАРТСЪЕЗДА,,,,
3002004542,"Организация Р.А. ""РАДУГА",,,,ПРЕДСЕДАТЕЛЬ Сейтов Утегали Куандыкович
3002004824,"Организация РА ""ЧЕЛЮСКИНЕЦ""",,,,ПРЕДСЕДАТЕЛЬ Бисенов Гумар Уакиевич
3002004920,"Организация КЛХ РЫБОЛОВЕЦКИЙ ""ПОБЕДА""",,,,ПРЕДСЕДАТЕЛЬ Ванеев Виктор Станиславович
3002005000,"Организация Р.К. ""АСТРАХАНЕЦ""",,,,ПРЕДСЕДАТЕЛЬ Умаров Карл Галимжанович
3002005049,"Организация СХПК ""Рыболовецкая артель ""Стрежень""",,,,ПРЕДСЕДАТЕЛЬ Дрыгин Борис Аркадьевич
3002005120,"Организация АО ""АСТРАХАНЬ-РЫБА""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Оразгалиев Мегдат
3002005306,"РА ""ЮГ-2000""",,,,
3002005320,"СПРК ""Бештуг""",,,,
3002005360,"ООО ""Русский стиль – ПРОСЕТ Дельта""",,,,
3004000092,Рыболовецкий колхоз им. С.М. Кирова,,,,
3004000374,РЫБОЛОВЕЦКИЙ КОЛХОЗ ИМЕНИ В.И.ЛЕНИНА,,,,АФАНАСЬЕВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ
3004001297,КОЛХОЗ ИМ  XX ПАРТСЪЕЗДА,,,,ПОЛИТОВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ
3004005238,"ООО ""МИВ""",,,,МИЛЯЕВ ВАСИЛИЙ ВЛАДИМИРОВИЧ
3004005679,"ООО ПКФ ""БЕРКУТ""",,,,РЯБИНИН ВИКТОР ПЕТРОВИЧ
3004008831,"ООО ""ОРАНЖЕРЕИНСКИЕ ДЕЛИКАТЕСЫ""",,,,КАРЛИН ВАДИМ ВАЛЕРЬЕВИЧ
