ИНН,Юр_Лицо,Группа_Компаний,Исключить,Комментарий,Директор_ListOrg
2508146719,"ООО ""Минтай плюс""",ГК Гидрострой,,,
2508146726,"ООО ""Треска плюс""",ГК Гидрострой,,,
2508152720,"ООО ""МУССОН ПРИМ""",,,,ГОРКАВЫЙ РУСЛАН ВЛАДИМИРОВИЧ
2518000814,"ПАО ""ПБТФ""",ГК Гидрострой,,Преображенская база тралового флота,НАЛАБОРДИН СЕРГЕЙ ИВАНОВИЧ
2518001230,"ООО ""ВОСХОД""",ГК Гидрострой ПБТФ,,,ЕРЕМЕЕВ СЕРГЕЙ МСТИСЛАВОВИЧ
2518003830,"ООО ""РЫБОЗАВОД ВАЛЕНТИН""",,,,ЯЦЬКОВ СЕРГЕЙ СТАНИСЛАВОВИЧ
2521015225,"ООО ""ВЕЛЕС-СНЕК""",ГК Гидрострой,,,МЯЧИН ОЛЕГ ВЛАДИМИРОВИЧ
2521015391,"ООО ""РУССКИЙ МИНТАЙ""",,,,
2528004350,"АО ""ВОСТОК-ДЖАПАН""",,,,МИЛОВАНОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ
2531007897,"ООО НПКА ""НЕРЕИДА""",,,,АНДРЕЕВА МАРИАННА НИКОЛАЕВНА
2536010639,"АО ""Р/К ""ВОСТОК-1""",,,,
2536039660,"АО ""СТАНДЕРС""",,,,КИМ АЛЕКСАНДР СУИРОВИЧ
2536053382,АО ТУРНИФ,ГК РРПК,,,
2536084366,"ООО ""ПРИМРЫБФЛОТ""",,,,ЗАВАДСКИЙ АЛЕКСАНДР НИКОЛАЕВИЧ
2536098390,"ООО ""ПРК""",,,,ТАРЕВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ
2536128013,"ООО ""КИМАР""",,,,КОПЫТОВ РОМАН АЛЕКСАНДРОВИЧ
2536247860,"АО ""Ролиз""",ГК Норебо,,,ЛЫСЕНКО СЕРГЕЙ АЛЕКСЕЕВИЧ
2536252290,"ООО ""ПРИБРЕЖНЫЙ ЛОВ""",,,,
2536283146,"ООО ""ЧУКОТКА""",ГК Гидрострой,,,МЯЧИН ОЛЕГ ВЛАДИМИРОВИЧ
2536306467,"ООО ""НОВЫЙ СЕЙВАЛ""",,,,
2536306523,"ООО ""МИНТАЙ ПЕРВЫЙ""",,,,
2536306530,"ООО ""НОВОСТРОЙ""",,,,
2536306555,"ООО ""РРПК ВОСТОК""",,,,
2536312196,"ООО ""АТЛАНТИК КРАБ""",,,,
2536312206,"ООО ""КАМЧАТКА КРАБ""",,,,"( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; учредитель ООО ""ПРИМКРАБ"" , ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.09.2020 * ) ООО ""ПАСИФИК КРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 17.09.2020 * ; - генеральный директор до 09.08.2019 * ; - генеральный директор до 07.06.2019 * ) ООО ""АТЛАНТИК КРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 17.09.2020 * ; - генеральный директор до 09.08.2019 * ; - генеральный директор до 07.06.2019 * ) ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.10.2022 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.10.2020 * ; - генеральный директор до 09.08.2019 * ) ООО ""ДАЛЬНЕВОСТОЧНЫЙ КРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 07.10.2022 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.09.2020 * ) ООО ""П-КРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.09.2020 * ) ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.09.2020 * ) ООО ""ВЛАДКРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - учредитель до 22.11.2024 * ) ООО ""ПОЛЯРНЫЙ ЛОСОСЬ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель) ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель) ООО ""АРКТИЧЕСКИЙ ЛОСОСЬ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель) АО ""Т-КРАБ"" ( АО ""РУССКИЙ КРАБ"" - управляющая организация; - генеральный директор до 12.11.2021 * ; - генеральный директор до 08.09.2020 * ) (генеральный директор АО ""РУССКИЙ КРАБ"" ) ООО ""БЕРИНГ КРАБ"" ( - учредитель до 23.06.2025 * , управляющая организация до 02.07.2025 * ; - учредитель до 23.06.2025 * ; - учредитель до 22.11.2024 * ) ООО ""СИРИУС"" ( - генеральный директор, учредитель) ( - генеральный директор) (генеральный директор ООО ""ПРИМКРАБ"" до 17.09.2024 * ) (генеральный директор ООО ""ПРИМКРАБ"" до 27.12.2018 * ) ( - учредитель) (учредитель ООО ""ПРИМКРАБ"" до 24.08.2023 * ) (учредитель ООО ""ПРИМКРАБ"" до 14.11.2022 * ) (учредитель ООО ""ПРИМКРАБ"" до 14.11.2022 * ) (учредитель ООО ""ПРИМКРАБ"" до 14.11.2022 * ) (учредитель ООО ""ПРИМКРАБ"" до 14.11.2022 * ) (учредитель ООО ""ПРИМКРАБ"" до 23.11.2018 * ) (учредитель ООО ""ПРИМКРАБ"" до 04.04.2018 * ) ООО ""ФСК ПРОГРЕСС"" ( - учредитель до 14.06.2023 * , генеральный директор до 03.07.2023 * ) ( - учредитель до 14.11.2022 * ) ООО ""ЭЛЬБРУС ПАРТНЕРС"" ( - учредитель до 25.04.2024 * ) ООО ""РОКВЕЛЛ КАПИТАЛ"" ( - учредитель до 03.11.2022 * ) ООО ""ВЕНЕД"" (ликвидир. 16.06.2021) ( - учредитель) ( - учредитель) показать ещё 9 организаций, в которых Сапожников Александр Анатольевич - учредитель ( - генеральный директор до 15.11.2024 * ) АО ""СИНЕМА ПАРК"" ( - генеральный директор до 08.08.2018 * ) ООО ""СП ДЕВЕЛОПМЕНТ"" ( - генеральный директор до 10.08.2018 * ) ( - генеральный директор до 08.08.2018 * ) ООО ""ФСКЗ ГП"" ( - генеральный директор до 15.11.2024 * ) ООО ""ФСКЗ А"" ( - генеральный директор до 08.11.2024 * ) ( - генеральный директор до 14.08.2025 * ) ООО ""БЕТОНСТРОЙХОЛДИНГ"" ( - генеральный директор до 31.03.2025 * ) ООО ""П.К. ФОРМУЛА КИНО"" ( - генеральный директор до 09.08.2018 * ) ( - генеральный директор до 08.08.2018 * ) ООО ""ФСК КОМФОРТ"" ( - генеральный директор до 11.08.2023 * ) ЗАО ""ПРОТОС"" (ликвидир. 10.10.2016) ( - генеральный директор) ( - учредитель до 07.11.2019 * ) ООО ""ВЕНЕРА"" ( - учредитель до 29.12.2020 * ) ООО ""КРОНВЕРК-СИНЕМА"" (ликвидир. 07.04.2010) ( - ликвидатор) ( - учредитель) (учредитель ООО ""ПРИМКРАБ"" до 24.04.2024 * ) АО ""РКВ ИНВЕСТ"" (ликвидир. 28.10.2020) ( - генеральный директор до 31.07.2020 * ) ООО ""НЕВСКИЙ ИНВЕСТИЦИОННЫЙ ДОМ "" (ликвидир. 27.12.2019) ( - генеральный директор до 08.08.2018 * ) ( - генеральный директор до 25.10.2019 * ) ООО ""СЕЛЬДЬ-Т"" (находилось по старому адресу ООО ""КАМЧАТКА КРАБ"" ) ООО ""СЕЛЬДЬ-В"" (ликвидир. 29.01.2025) (находилось по старому адресу ООО ""КАМЧАТКА КРАБ"" )"
2536312213,"ООО ""ПАСИФИК КРАБ""",,,,"( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; учредитель ООО ""ПРИМКРАБ"" , ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.09.2020 * ) ООО ""КАМЧАТКА КРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 17.09.2020 * ; - генеральный директор до 09.08.2019 * ; - генеральный директор до 07.06.2019 * ) ООО ""АТЛАНТИК КРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 17.09.2020 * ; - генеральный директор до 09.08.2019 * ; - генеральный директор до 07.06.2019 * ) ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.10.2022 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.10.2020 * ; - генеральный директор до 09.08.2019 * ) ООО ""ДАЛЬНЕВОСТОЧНЫЙ КРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 07.10.2022 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.09.2020 * ) ООО ""П-КРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.09.2020 * ) ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - генеральный директор до 12.11.2021 * , учредитель до 22.11.2024 * ; - генеральный директор до 08.09.2020 * ) ООО ""ВЛАДКРАБ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель; - учредитель до 22.11.2024 * ) ООО ""ПОЛЯРНЫЙ ЛОСОСЬ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель) ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель) ООО ""АРКТИЧЕСКИЙ ЛОСОСЬ"" ( АО ""РУССКИЙ КРАБ"" - учредитель, управляющая организация; ООО ""ПРИМКРАБ"" - учредитель) АО ""Т-КРАБ"" ( АО ""РУССКИЙ КРАБ"" - управляющая организация; - генеральный директор до 12.11.2021 * ; - генеральный директор до 08.09.2020 * ) (генеральный директор АО ""РУССКИЙ КРАБ"" ) ООО ""БЕРИНГ КРАБ"" ( - учредитель до 23.06.2025 * , управляющая организация до 02.07.2025 * ; - учредитель до 23.06.2025 * ; - учредитель до 22.11.2024 * ) ООО ""СИРИУС"" ( - генеральный директор, учредитель) ( - генеральный директор) (генеральный директор ООО ""ПРИМКРАБ"" до 17.09.2024 * ) (генеральный директор ООО ""ПРИМКРАБ"" до 27.12.2018 * ) ( - учредитель) (учредитель ООО ""ПРИМКРАБ"" до 24.08.2023 * ) (учредитель ООО ""ПРИМКРАБ"" до 14.11.2022 * ) (учредитель ООО ""ПРИМКРАБ"" до 14.11.2022 * ) (учредитель ООО ""ПРИМКРАБ"" до 14.11.2022 * ) (учредитель ООО ""ПРИМКРАБ"" до 14.11.2022 * ) (учредитель ООО ""ПРИМКРАБ"" до 23.11.2018 * ) (учредитель ООО ""ПРИМКРАБ"" до 04.04.2018 * ) ООО ""ФСК ПРОГРЕСС"" ( - учредитель до 14.06.2023 * , генеральный директор до 03.07.2023 * ) ( - учредитель до 14.11.2022 * ) ООО ""ЭЛЬБРУС ПАРТНЕРС"" ( - учредитель до 25.04.2024 * ) ООО ""РОКВЕЛЛ КАПИТАЛ"" ( - учредитель до 03.11.2022 * ) ООО ""ВЕНЕД"" (ликвидир. 16.06.2021) ( - учредитель) ( - учредитель) показать ещё 9 организаций, в которых Сапожников Александр Анатольевич - учредитель ( - генеральный директор до 15.11.2024 * ) АО ""СИНЕМА ПАРК"" ( - генеральный директор до 08.08.2018 * ) ООО ""СП ДЕВЕЛОПМЕНТ"" ( - генеральный директор до 10.08.2018 * ) ( - генеральный директор до 08.08.2018 * ) ООО ""ФСКЗ ГП"" ( - генеральный директор до 15.11.2024 * ) ООО ""ФСКЗ А"" ( - генеральный директор до 08.11.2024 * ) ( - генеральный директор до 14.08.2025 * ) ООО ""БЕТОНСТРОЙХОЛДИНГ"" ( - генеральный директор до 31.03.2025 * ) ООО ""П.К. ФОРМУЛА КИНО"" ( - генеральный директор до 09.08.2018 * ) ( - генеральный директор до 08.08.2018 * ) ООО ""ФСК КОМФОРТ"" ( - генеральный директор до 11.08.2023 * ) ЗАО ""ПРОТОС"" (ликвидир. 10.10.2016) ( - генеральный директор) ( - учредитель до 07.11.2019 * ) ООО ""ВЕНЕРА"" ( - учредитель до 29.12.2020 * ) ООО ""КРОНВЕРК-СИНЕМА"" (ликвидир. 07.04.2010) ( - ликвидатор) ( - учредитель) (учредитель ООО ""ПРИМКРАБ"" до 24.04.2024 * ) АО ""РКВ ИНВЕСТ"" (ликвидир. 28.10.2020) ( - генеральный директор до 31.07.2020 * ) ООО ""ТИХООКЕАНСКИЕ РЫБНЫЕ ПРОМЫСЛЫ"" (находится по старому адресу ООО ""ПАСИФИК КРАБ"" ) (находится по старому адресу ООО ""ПАСИФИК КРАБ"" ) ООО ""НЕВСКИЙ ИНВЕСТИЦИОННЫЙ ДОМ "" (ликвидир. 27.12.2019) ( - генеральный директор до 08.08.2018 * ) ООО ""РМД СЕВЕРО-ЗАПАД"" (ликвидир. 26.02.2021) ( - генеральный директор до 25.10.2019 * )"
