ИНН,Название_объекта,Вид_объекта,Страна,Регион,Продукция,Виды_деятельности,Статус,Хоз_субъект,Судно
4101016808,"БМРТ ""Сероглазка"", Рыболовецкий колхоз им. В.И.Ленина","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,Рыба и морепродукты,промысел (добыча) подконтрольной продукции,Запись подтверждена,РЫБОЛОВЕЦКИЙ КОЛХОЗ ИМ. В.И. ЛЕНИНА,1
4101016808,,,Страны Таможенного Союза,,Корма и кормовые добавки / мука рыбная кормовая / мука рыбная кормовая (2301),"расфасовка, производство, хранение",Без ограничений,,0
5100000010,"МК5119 ""Василий Филиппов""  (ПАО ""Мурманский траловый флот"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Рыба и морепродукты / рыба мороженая,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ""",1
6515002391,"СРТМ ""Ясный"", ООО ""Гранис""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты / рыба мороженая,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНИС""",1
6515002391,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
6515002391,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая лососевых пород,"вылов, расфасовка, перемещение, производство, хранение",Без ограничений,,0
4909053889,"ООО  ""ТИХООКЕАНСКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""  СРТМ ""Си Хантер""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Магаданская обл.,Рыба и морепродукты / рыба мороженая,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИХООКЕАНСКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",1
2901069731,"М-0337 ""Викинг"" (ООО ""Ягры"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Рыба и морепродукты,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯГРЫ""",1
2536010639,"ЯМС ""Восток-1""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,Рыба и морепродукты / рыба мороженая,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЫБОЛОВЕЦКИЙ КОЛХОЗ ""ВОСТОК-1""",1
5191204516,"МК4818 ""Зенит"" (ЗАО ""АРКТИКСЕРВИС"")","предприятия по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИКСЕРВИС""",0
6505008098,"СРТМ ""Вильгельм Торстейнссон""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,Рыба и морепродукты / мука рыбная кормовая / мука рыбная кормовая (2301),промысел (добыча) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЛИВ""",1
6505008098,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
2536247860,"ООО ""РОЛИЗ"", Рыболовное судно ""Владимир Старжинский""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,Рыба и морепродукты,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЛИЗ""",1
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / икра минтая ястычная мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / молоки минтая мороженые (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / печень минтая мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / мука рыбная кормовая,"вылов, расфасовка, перемещение, производство, разделка, хранение",Усиленный лабораторный контроль,,0
5190074991,"ООО ""МП-Группа""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Мурманская обл.,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / икра морского ежа охлажденная (0308)",производство (переработка) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МП-ГРУППА""",0
5190074991,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / икра морского ежа мороженая (0308)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5190074991,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные.","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
5190074991,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / морской еж живой (0308)","расфасовка, перемещение, реализация, производство, хранение",Без ограничений,,0
4107002304,"ПЗ ""Капитан Теплюков""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,Рыба и морепродукты,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛХОЗ ОКТЯБРЬ""",1
4101142626,"СРТМ ""Реал"" ООО ""Север""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Хабаровский край,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕР""",1
2505008333,"РШ ""Надежда"", ООО ""Морской бриз""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / креветка в панцире с/м (0306)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРСКОЙ БРИЗ""",1
2505008333,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / креветка в панцире в/м (0306)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
6507000094,"Сельскохозяйственный производственный кооператив ""Рыболовецкий колхоз ""Дружба""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""РЫБОЛОВЕЦКИЙ КОЛХОЗ ""ДРУЖБА""",0
252103633944,ИП Морозов Петр Николаевич,предприятия аквакультуры,Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые / устрицы живые (0307)","временное содержание животных, производство (переработка) подконтрольной продукции, реализация животных",Запись подтверждена,МОРОЗОВ ПЕТР НИКОЛАЕВИЧ,0
252103633944,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / краб (0306)","вылов, расфасовка, производство, хранение",Без ограничений,,0
252103633944,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые / ракушки вонголе (0307)","вылов, расфасовка, производство, хранение",Без ограничений,,0
252103633944,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / кукумария живая (0308)","вылов, расфасовка, производство, хранение",Без ограничений,,0
252103633944,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / трепанг живой (0308)","вылов, расфасовка, производство, хранение",Без ограничений,,0
252103633944,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / морской еж живой (0308)","вылов, расфасовка, производство, хранение",Без ограничений,,0
252103633944,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые / двухстворчатый моллюск (0307)","вылов, расфасовка, производство, хранение",Без ограничений,,0
8203010714,"РПК ""Хайлюлинский"" АО ""Колхоз им. Бекерева""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,Рыба и морепродукты / рыба мороженая / икра лососевых в ястыках мороженая (0303),"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛХОЗ ИМ. БЕКЕРЕВА""",1
8203010714,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"реализация, производство, хранение, переработка",Без ограничений,,0
3906138638,"ООО""МВГрупп""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Калининградская обл.,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / филе лосося солено-мороженое (0305)","реализация подконтрольной продукции, хранение подконтрольной продукции, производство (переработка) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МВГРУПП""",0
3906138638,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / филе лосося слабосоленое (0305)","реализация, производство, хранение, переработка",Без ограничений,,0
6503012268,"ООО ""Фирсово Плюс""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты / рыба мороженая / рыба мороженая (0303),производство (переработка) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРСОВО ПЛЮС""",0
5191407587,"М-0003 ""Александр Мироненко"" (АО ""Таурус"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Корма и кормовые добавки / мука рыбная кормовая / мука рыбная кормовая (2301),"перевозка (хранение) кормов и кормовых добавок, перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, производство кормов и кормовых добавок, промысел (добыча) подконтрольной продукции, реализация кормов и кормовых добавок, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАУРУС""",1
5191407587,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
5191407587,,,Страны Таможенного Союза,,Рыба и морепродукты,"реализация, производство, разделка, хранение, переработка",Исключено,,0
5190081090,"ВК-0755 ""Рашков"" (ООО ""Антей Север"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ СЕВЕР""",1
550506184742,ИП Ющак Татьяна Николаевна,предприятия аквакультуры,Страны Таможенного Союза,Омская обл.,Рыба и морепродукты / живая рыба / карась (0301),"воспроизведение водных биологических ресурсов, реализация подконтрольной продукции",Запись подтверждена,ЮЩАК ТАТЬЯНА НИКОЛАЕВНА,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / живая рыба / карп живой (0301),"вылов, выращивание, перемещение, производство, разведение, хранение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / живая рыба / белый амур (0301),"вылов, выращивание, перемещение, производство, разведение, хранение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / живая рыба / толстолобик белый (0301),"вылов, выращивание, перемещение, производство, разведение, хранение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / живая рыба / толстолобик пестрый (0301),"вылов, выращивание, перемещение, производство, разведение, хранение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / живая рыба / стерлядь живая (0301),"вылов, выращивание, перемещение, производство, разведение, хранение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / живая рыба лососевых пород / форель живая (0301),"вылов, выращивание, перемещение, производство, разведение, хранение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / раки живые (0306)","вылов, выращивание, перемещение, производство, разведение, хранение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная лососевых пород / форель свежая (0302),"вылов, расфасовка, выращивание, перемещение, производство, разведение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная / толстолобик свежий (0302),"вылов, расфасовка, выращивание, перемещение, производство, разведение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная / стерлядь свежая (0302),"вылов, расфасовка, выращивание, перемещение, производство, разведение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная / карп свежий (0302),"вылов, расфасовка, выращивание, перемещение, производство, разведение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная / карась свежий (0302),"вылов, расфасовка, выращивание, перемещение, производство, разведение",Без ограничений,,0
550506184742,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная / белый амур свежий (0302),"вылов, расфасовка, выращивание, перемещение, производство, разведение",Без ограничений,,0
6501289105,"РС ""Мерланг"", ООО Рыбокомбинат ""Островной""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты / рыба мороженая,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",1
2536304773,"РС ""Ультимат 1"", ООО ""Примкраб""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / краб живой (0306)","производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМКРАБ""",1
6515002391,"СРТМ несерийн. ""Ирида""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНИС""",1
4108000596,"РА ""Колхоз Красный труженик""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Камчатский край,Рыба и морепродукты / рыба мороженая / рыба мороженая (0303),"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"РЫБОЛОВЕЦКАЯ АРТЕЛЬ ""КОЛХОЗ КРАСНЫЙ ТРУЖЕНИК""",0
4108000596,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра лососевая соленая (1604)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
6507005529,"СРТМ ""Мыс Датта"", ООО ""Поронай""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,"Рыба и морепродукты / рыба мороженая / молоки рыбные, икра ястычная с/м (0303)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОРОНАЙ""",1
6507005529,,,Страны Таможенного Союза,,Рыба и морепродукты,"перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6507005529,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","вылов, перемещение, производство, хранение",Без ограничений,,0
6507005529,,,Страны Таможенного Союза,,Рыба и морепродукты / мука рыбная кормовая,"вылов, перемещение, производство, хранение",Без ограничений,,0
6507005529,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, перемещение, производство, хранение",Без ограничений,,0
6507005529,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","вылов, расфасовка, производство, разделка, хранение",Без ограничений,,0
2715000919,"СТР ""Механик Романча"", РЫБОЛОВЕЦКИЙ КОЛХОЗ ИМ. ЛЕНИНА","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Хабаровский край,Рыба и морепродукты / рыба мороженая лососевых пород / икра лососевая соленая мороженая (0303),"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,РЫБОЛОВЕЦКИЙ КОЛХОЗ ИМ. ЛЕНИНА,1
2715000919,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / головы лосося мороженые (0303),"реализация, хранение, переработка",Без ограничений,,0
2715000919,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба мороженая / молоки рыбные, икра ястычная с/м (0303)","реализация, хранение, переработка",Без ограничений,,0
2715000919,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"реализация, производство, хранение, переработка",Без ограничений,,0
2536312196,"РС ""Капитан Сковпен"" ООО ""Атлантик Краб""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАНТИК КРАБ""",1
2536312196,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
7841485162,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВРОРА БОРЕАЛИС""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Новгородская обл.,Рыба и морепродукты,"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВРОРА БОРЕАЛИС""",0
7841485162,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / креветка в/м (0306)","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
7841485162,,,Страны Таможенного Союза,,Рыба и морепродукты / полуфабрикаты рыбные / полуфабрикаты рыбные (1604),"расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
7841485162,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / креветка в панировке мороженая (1605)","перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
7841485162,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","реализация, производство, разделка, хранение, переработка",Без ограничений,,0
9111013040,"ООО ""Крымский берег""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Республика Крым,Рыба и морепродукты / рыба мороженая,"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЫМСКИЙ БЕРЕГ""",0
2508111410,"ООО Новая Рыболовная Компания ""Марен"" МРТР ""Пик Надежды""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Магаданская обл.,Рыба и морепродукты / рыба мороженая,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции, перевозка подконтрольной продукции, реализация подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НОВАЯ РЫБОЛОВНАЯ КОМПАНИЯ ""МАРЕН""",1
2715000475,Рыболовецкая компания им. Вострецова,"предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Хабаровский край,Рыба и морепродукты / рыба мороженая / молоки лососевые мороженые (0303),производство (переработка) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБОЛОВЕЦКАЯ КОМПАНИЯ ИМЕНИ ВОСТРЕЦОВА""",1
2715000475,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / икра сельди мороженая (в ястыках) (0303),"вылов, перемещение, разделка, хранение",Без ограничений,,0
