vessel,start,end,dur_days,port,port_flag,class,event_kind,is_yard,is_repair,at_repair_location,nearest_yard,yard_distance_km,yard_note,latitude,longitude,voyage
ALEXANDR BELYAKOV(RUS),2020-01-21 10:48,2020-01-21 12:50,0.08,BUSAN,KOR,bunker_call,bunker_call,True,False,True,Пусан (Busan),5.2,Busan (KOR) — судоремонт/докование,35.0045,129.0435,28
ALEXANDR BELYAKOV(RUS),2020-03-02 22:18,2020-05-01 12:26,59.59,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,27
ALEXANDR BELYAKOV(RUS),2020-07-25 07:56,2020-07-27 00:16,1.68,VLADIVOSTOK,RUS,port_call,unloading_call,True,False,True,Владивосток (рейд/Большой Камень),1.5,Владивосток — Дальзавод/Славянский СРЗ,43.0431,132.0042,26
ALEXANDR BELYAKOV(RUS),2020-07-27 05:33,2020-11-07 16:10,103.44,NAKHODKA,RUS,repair_docking,dry_dock_repair,True,True,True,Находка (НСРЗ),5.7,Находка — НСРЗ,42.744,132.9297,25
ALEXANDR BELYAKOV(RUS),2020-11-16 14:50,2020-12-10 11:50,23.88,NAKHODKA,RUS,maintenance,dry_dock_repair,True,True,True,Находка (НСРЗ),6.7,Находка — НСРЗ,42.7451,132.9547,24
ALEXANDR BELYAKOV(RUS),2021-01-27 10:54,2021-01-28 21:05,1.42,OKTYABRSKIY,RUS,port_call,unloading_call,False,False,False,Петропавловск-Камчатский (СРВ),191.6,,52.6254,155.8736,23
ALEXANDR BELYAKOV(RUS),2021-02-23 20:17,2021-02-25 12:53,1.69,OKTYABRSKIY,RUS,port_call,unloading_call,False,False,False,Петропавловск-Камчатский (СРВ),191.6,,52.6254,155.8736,22
ALEXANDR BELYAKOV(RUS),2021-05-27 15:39,2021-05-28 06:41,0.63,SEVERO KURILSK,RUS,bunker_call,bunker_call,False,False,False,Петропавловск-Камчатский (СРВ),315.7,,50.6261,156.1805,21
ALEXANDR BELYAKOV(RUS),2021-06-22 21:53,2021-06-27 10:46,4.54,NAKHODKA,RUS,port_call,dry_dock_repair,True,True,True,Находка (НСРЗ),5.7,Находка — НСРЗ,42.744,132.9297,20
ALEXANDR BELYAKOV(RUS),2021-06-27 21:12,2021-09-16 02:52,80.24,VLADIVOSTOK,RUS,repair_docking,dry_dock_repair,True,True,True,Владивосток (рейд/Большой Камень),0.5,Владивосток — Дальзавод/Славянский СРЗ,43.0489,132.0258,19
ALEXANDR BELYAKOV(RUS),2021-09-17 09:22,2021-09-17 12:24,0.13,VLADIVOSTOK,RUS,bunker_call,bunker_call,True,False,True,Владивосток (рейд/Большой Камень),0.9,Владивосток — Дальзавод/Славянский СРЗ,43.0518,132.0306,18
ALEXANDR BELYAKOV(RUS),2021-10-28 19:09,2021-10-31 15:48,2.86,SEVERO KURILSK,RUS,port_call,unloading_call,False,False,False,Петропавловск-Камчатский (СРВ),314.7,,50.6474,156.153,17
